Question,answer,A,B,C,D,E
胁痛肝气郁结型的治法(    )。,B,理气通络,疏肝理气,理气柔肝,疏肝通络，,
患者胁肋痛走窜不定，情志不舒则痛增，善太息，苔薄白，脉弦，辨证为(    )。,B,肝气郁结胁痛,血瘀阻络胁痛,肝气犯胃胃痛,肝胆气郁胆胀,
胁痛虚证的治疗原则是(    )。,A,滋阴养血柔肝,补肝益气通络,疏肝健脾和胃,温经养血疏肝,
患者胁肋胀痛拒按或引及肩部伴脘闷纳呆，恶心呕吐，厌油腻，口干口苦或有黄疸，舌苔黄腻，脉弦滑，可辨证为(    )。,B,湿重于热型黄疸,湿热蕴结型胁痛,热重于湿型黄疸,肝胆湿热型胆胀,
湿热蕴结型胁痛选用的方剂是(    )。,B,茵陈蒿汤,龙胆泻肝汤,茵陈四苓汤,柴胡疏肝散,
血瘀阻络型胁痛的治法是(    )。,B,疏肝理气化瘀,活血化瘀、理气通络,活血化瘀、疏肝理气,理气活血,
最早记载胆胀病名的著作是(    )。,A,《内经》,《伤寒杂病论》,《临证指南》,《柳州医话》,
患者右胁灼热疼痛，口苦咽干，面红目赤，便秘、溲短赤，心烦失眠，舌红，苔黄厚而干，脉弦数，辨证为(    )。,B,湿热蕴结胁痛,胆腑郁热型胆胀,胆腑郁热型黄疸,肝胆气郁型胆胀,
肝胆气郁型胆胀和肝气郁结型胁痛均可选用(    )。,A,柴胡疏肝散,金铃子散合失笑散,清胆汤,五磨子饮,
右胁刺痛，痛处固定，面色晦暗，口干口苦，舌质紫暗，脉弦细涩，选用的方药是(    )。,B,血府逐瘀汤,四逆散合失笑散,身痛逐瘀汤,膈下逐瘀汤,
胆腑郁热型胆胀治疗方剂是(    )。,C,龙胆泻肝汤,大柴胡汤,清胆汤,茵陈蒿汤,
患者右胁隐痛，有灼热感，口燥咽干，急燥易怒，胸中烦热，头晕目眩，午后低热，舌红少苔，脉细数辨证为(    )。,B,肝阴不足型胁痛,阴虚郁滞型胆胀,阳虚郁滞型胆胀,脾虚血亏型阴黄,
患者右胁隐痛，时作时止，呕吐清水畏寒肢冷，神疲乏力，气短懒言，舌淡苔白，脉弦弱无力辨证为(    )。,A,阳虚郁滞型胆胀,阴虚郁滞型胆胀,脾虚血亏型阴黄,寒湿阻遏型阴黄,
温阳益气，疏肝利胆法可适用于(    )。,C,脾虚血亏型阴黄,肝气郁滞型胁痛,阳虚郁滞型胆胀,气滞血瘀型胆胀,
胆胀阳虚郁滞的治疗方药是(    )。,B,一贯煎,理中汤加味,四逆散,大建中汤,
胆胀气滞血瘀的治疗法则是(    )。,A,理气活血、通络止痛,疏肝利胆、理气活血,疏肝理气、活血化瘀,活血化瘀、理气解郁,
下列哪项不是鼓胀的病因(    )。,B,情志所伤,外感六淫,酒食不节,黄疽积聚日久,
鼓胀的临床主症(    )是错误的。,D,腹胀大如鼓,皮色苍黄,脉络暴露,腰以下浮肿,
最早记载鼓胀病证的著作是(    )。,B,《肘后备急方》,《内经》,《金匮要略》,《诸病源候论》,
鼓胀气滞湿阻的治疗法则是(    )。,A,疏肝理气  健脾利水,疏肝解郁  燥湿健脾,理气解郁  健脾利水,疏肝理气  健脾化湿,
鼓胀病变部位在(    )。,B,肝脾胃,肝脾肾,肝胆脾,肝胆肾,
鼓胀总的治疗原则是(    )。,A,攻补兼施,先补后攻,先攻后补,攻逐水饮,
患者腹大胀满，按之如囊裹水，胸脘胀满，得热则舒，身困重，畏寒肢冷，面浮，便溏，苔白腻水滑，脉弦迟，辨证为(    )。,B,寒湿阻遏型黄疸,寒湿困脾型鼓胀,脾肾阳虚型鼓胀,湿热蕴结型鼓胀,
实脾饮用于治疗(    )型鼓胀。,C,气滞湿阻,脾肾阳虚,寒湿困脾,湿热蕴结,
清热利湿，攻下逐水的治疗法则适用于(    )。,A,湿热蕴结型鼓胀,肝胆湿热型胆胀,湿热蕴结型胁痛,湿重于热型黄疸,
肝脾血瘀型鼓胀选用的方剂是(    )。,B,血府逐瘀汤,膈下逐瘀汤,调营饮,少腹逐瘀汤,
患者腹大坚满拒按，烦热口苦，渴不欲饮，小便短赤，大便秘结，面目肌肤发黄，舌边尖红，苔黄腻或灰黑而润，脉弦数，证属(    )型鼓胀。,C,气滞湿阻,寒湿困脾,湿热蕴结,肝肾阴虚,
鼓胀若水停过多可酌情选用(    )。,B,破血利水法,攻逐水饮法,行气泻水法,通利二便法,
气滞湿阻型鼓胀的治疗方剂是(    )。,A,柴胡疏肝散合胃苓汤,柴胡疏肝散合四逆散,柴胡疏肝散合五苓散,胃苓汤合逍遥丸,
鼓胀虚证的临床特征可见(    )。,C,鼓胀久延外邪已除,腹水已消,病势趋缓,肝脾肾亏虚,腹满胀痛
水肿的病理主要在（    ）三脏。,D,心肝脾,肝脾肾,肺脾肾,心脾肾,
患者眼睑浮肿迅及全身，皮色润泽光亮，伴恶风寒发热，咽喉肿痛，舌红，脉浮滑数，最佳选方是(    )。,B,防己黄芪汤,越婢加术汤,五皮饮,麻黄连翘赤小豆汤,
水肿在(    )情况下用攻下逐水法最适宜。,B,高度浮肿，神志不清,高度浮肿，正气尚旺,高度浮肿，正气已衰,颜面浮肿，兼有表证,
患者身发疮痍，发热，继则眼睑浮肿，延及四肢，小便不利，舌质红，苔薄黄，脉滑数，证属(    )。,D,湿热壅盛之阳水,水湿浸渍之阳水,风水泛滥之阳水,湿毒浸淫之阳水,
患者恶寒发热，头痛无汗，肢体酸痛，眼睑浮肿延及四肢，小便不利，舌淡红，苔薄白，脉浮紧，证属(    )。,A,风水泛滥之阳水,水湿浸渍之阳水,湿热壅盛之阳水,湿毒浸淫之阳水,
下列说法正确的是(    )。,C,水肿均从眼睑肿起,水肿患者不伴腹水,鼓胀与水肿均可见腹水,鼓胀只有腹水，五四肢浮肿,
患者水肿，腰以下为甚，脘闷纳呆，肢冷神倦，尿少便溏，舌质淡，苔白腻，脉沉缓，最佳选方为(    )。,C,温脾汤,参苓白术散,实脾饮,胃苓汤,
把水肿分为阳水和阴水两大类者是(    )。,A,朱丹溪,张景岳, 喻昌,刘完素,
哪本书记载了疮痍可以引起水肿?,D,《证治汇补》,《金匮要略》,《医学入门》,《医宗必读》,
水湿浸渍型水肿的治法为(    )。,D,健脾化湿，益气升阳,补脾益肾，化气行水,温阳健脾，化气行水,健脾化湿，通阳利水,
下列(    )对阳水、阴水的鉴别无明显意义。,B,起病的缓急,感邪的不同,病程的长短,浮肿的程度,
水肿的发病以(    )脏为本。,D,心,肺,脾,肾,
水肿的调摄护理中，(    )最重要。,C,忌食辛辣,戒烟酒,戒盐,忌肥甘厚味,
将水肿根据五脏证候分为心水、肺水、肝水、脾水、肾水的著作是(    )。,B,《素问》,《金匮要略》,《灵枢》,《医学入门》,
患者遍体轻度浮肿，面色萎黄，晨起头面肿甚，午后下肢肿，能食但体倦，大便溏，小便正常，脉沉细，证属(    )。,B,脾阳虚衰之阴水,脾气虚弱之阴水,水湿浸渍之阴水,脾肾两虚之阴水,
风水泛滥之阳水患者，若表证渐解，身重而水肿不退者，可按哪一型水肿论治?,C,脾阳虚衰,肾阳衰微,水湿浸渍,湿热壅盛,
患者先有心悸，气短神疲，形寒肢冷，舌质暗，脉虚数，继则出现水肿，腰以下为甚，按之凹陷不起，最佳选方为(    )。,B,真武汤,济生肾气丸,五皮饮,胃苓汤,
患者小便涩痛，小腹胀满疼痛，苔薄白，脉沉弦，最佳选方为(    )。,C,八正散,石苇散,沉香散,小蓟饮子,
患者小便艰涩，排尿时突然中断，腰腹绞痛牵及小腹，舌红，苔薄黄，最佳选方为(    )。,B,八正散,石苇散,无比山药丸,知柏地黄丸,
患者小腹坠胀，尿有余沥，面色无华，舌淡，脉虚细无力，证属(    )淋证。,B,肝郁气滞型,中气下陷型,脾肾两虚型,脾阳不足型,
虚证膏淋的最佳选方为(    )。,D,膏淋汤,萆薢分清饮,补中益气汤,无比山药丸,
淋证患者小便涩痛时见恶寒发热，其病机为(    )。,B,外邪束表，阳气被遏,湿热熏蒸，邪正相争,气分热盛，邪正相争,邪人少阳，邪正相争,
提出：“治淋之法，有通有塞，要当分别，有瘀血积塞住溺管者，宜先通，无瘀积而虚滑者，宜峻补”的著作是(    )。,B,《外台秘要》,《临证指南医案》,《诸病源候论》,《金匮要略》,
患者小便热涩刺痛，尿色深红，或夹有血块，苔黄，脉滑数，最佳选方为,D,知柏地黄丸,八正散,石苇散,小蓟饮子合导赤散,
下列关于尿浊的论述，错误的是(    )。,C,小便混浊,白如泔浆,排尿疼痛,与脾胃关系密切,
淋证日久不愈，反复发作，可转为(    )。,B,气淋,劳淋,血淋,膏淋,
患者小便频急涩痛，尿黄赤，伴寒热，口苦，呕恶，最佳选方为(    )。,D,八正散,石苇散,五味消毒饮,八正散合小柴胡汤,
患者面赤、心烦、口渴，小便黄赤灼热，尿色鲜红，舌红，脉数，诊断为(    )。,A,血淋,尿血,消渴,气淋,
首先将淋证做临床分类的书籍是(    )。,B,《金匮要略》,《中藏经》,《内经》,《诸病源候论》,
关于热淋的叙述，(    )是错误的。,C,小便频急涩痛,必有恶寒发热,小腹拘急胀痛,尿道灼热感,
气淋实证的治法是(    )。,D,行气化瘀,宣肺行气,升提中气,利气疏导,
患者小便涩滞，尿色淡红，腰痠乏力，舌淡红，脉细数，选方为(    )。,B,小蓟饮子,知柏地黄丸  ,八正散,沉香散,
(    )不是癃闭的主症。,C,小便闭塞不通,全日总尿量减少,尿时涩痛,排尿困难,
《素问·宣明五气篇》谓：“膀胱不利为(    )，不约为遗溺。”,D,淋,胀,闭,癃,
导尿术最早记载于(    )。,D,《丹溪心法》,《内经》,《景岳全书》,《备急千金要方》,
关于癃闭的诊断，(    )是错误的。,C,多见于老年男性,排尿困难,与呕吐并见,常有水肿病史,
下列说法(    )是错误的。,A,关格均由癃闭发展而来,癃闭可发展为关格,淋证可发展为关格,水肿可发展为关格,
患者小便点滴不通，短赤灼热，口渴不欲饮，舌红，苔黄腻，脉数，最佳选方为(    )。,A,八正散,清肺饮,沉香散,石苇散,
患者小便点滴不通，烦渴欲饮，咳嗽，苔薄黄，脉数，最佳选方为(    )。,B,八正散,清肺饮,沉香散,石苇散,
患者小便点滴而下，小腹胀满疼痛，舌质紫暗，脉细涩，治法是(    )。,D,清热化湿，通闭开窍,益气健脾，升清降浊,疏利气机，通利小便,行瘀散结，通利水道,
患者小便不利，全日尿量减少，伴小腹坠胀，肛门下坠，舌淡，脉弱，证属哪一型癃闭?,D,肝郁气滞,肾阳衰惫,肺热气壅,脾气不升,
患者时欲小便而不得出，小腹坠胀，五心烦热，肛门下坠，舌质红，脉细弱，证属哪一型癃闭?,A,气阴两虚,脾气不升,上焦热盛,气郁化火,
取嚏法利小便的治疗依据是(    )。,B,举中气利小便,开肺气利小便,和胃气利小便,清湿热利小便,
尿道阻塞型癃闭的最佳选方是(    )。,D,沉香散,清肺饮,滋肾通关丸,代抵当丸,
患者小便不通，胁腹胀满，多烦易怒，舌红，苔薄黄，脉弦，最佳选方为(    )。,D,疏凿饮子,越婢加术汤,八珍汤,沉香散,
首先将关格作为病名提出的著作是(    )。,B,《内经》,《伤寒论》,《医门法律》,《证治准绳》,
关于关格的论述，哪一项是正确的?,A,小便不通与呕吐并见,大便不通与呕吐并见,小便不通与水肿并见,小便淋沥涩痛,
关格呕吐的病机是(    )。,D,外感风寒，胃气上逆,瘀血内阻，胃气上逆,痰饮内停，胃气上逆,湿浊毒邪，上逆犯胃,
患者有慢性肾小球肾炎病史20年，2月来出现小便量极少，恶心呕吐，厌食乏力，腰膝酸软，尿黄赤，苔黄腻而干，脉濡数，诊断为(    )。,B,脾气不升之癃闭,脾肾亏虚，湿热内蕴之关格,肾阳衰惫之癃闭,脾肾阳虚，寒浊上犯之关格,
走哺呕吐的病机是(    )。,A,大便不通，浊气上冲,外邪干胃，胃气上逆,瘀血内停，胃气上逆,痰饮内停，胃气上逆,
患者有水肿病史5年，1月来小便量极少，呕吐清水，伴面色晦暗，畏寒怕冷，舌淡胖，脉沉细，证属哪一型关格?,D,脾肾亏虚，湿热内蕴,肝肾阴虚，肝风内动,心肾两虚，邪陷心包,脾肾阳虚，寒浊上犯,
患者小便不通，呕吐清水，面色晦滞，畏寒怕冷，便溏，苔白滑，脉沉细，选方为(    )。,D,苏合香丸,生脉散,黄连温胆汤,温脾汤合吴茱萸汤,
患者小便极少，恶心呕吐，心悸胸闷，痰涎壅盛，神昏躁狂，苔黄腻，脉滑数，最佳选方为(    )。,B,涤痰汤合苏合香丸,涤痰汤合紫雪丹,参附汤合苏合香丸,六味地黄丸合羚羊钩藤汤,
关格病机中标实指的是(    )。,A,湿浊毒邪,痰浊之邪,瘀血浊邪,虫积之邪,
患者小便不通，呕吐，神昏谵语，伴面白唇暗，四肢不温，痰涎壅盛，苔白腻，脉沉缓，最佳选方为(    )。,B,六味地黄丸合羚羊钩藤汤,涤痰汤合苏合香丸,涤痰汤合紫雪丹,参附汤加减,
治疗关格忌用酸涩之品，用无比山药丸时应去掉哪味药物?,A,五味子,肉苁蓉,巴戟天,赤石脂,
患者小便极少，呕恶频作，伴头晕目眩，肌肤干燥，舌质红而干，脉弦细数，最佳选方为(    )。,D,一贯煎合八正散,黄连温胆汤合五皮饮,吴茱萸汤合温胆汤,六味地黄丸合羚羊钩藤汤,
湿热下注，扰动精室之遗精，最佳选方是(    )。,C,八正散,程氏萆薢清饮,龙胆泻肝汤,知柏地黄丸,
遗精的病位主要在(    )脏腑。,B,脾肾,心肾,心脾,心肝,
患者少寐多梦，梦中遗精，伴心中烦热，口干，小便短赤，舌质红，脉细数，最佳选方是(    )。,D,知柏地黄丸合交泰丸,大补阴丸合交泰丸,金锁固精丸合水陆二仙丹,黄连清心饮合三才封髓丹,
君相火旺型遗精的治疗方药中配伍少量肉桂的用意是(    )。,C,补肾阳  温脾土,温脾土  壮心阳,引火归元  心肾交泰,摄肾气  固精室,
肾虚不藏，精关不固之遗精，治疗除补肾外，应辅以(    )。,A,定心安神,固涩止精,补益脾胃,升阳举陷,
妙香散主治哪一型遗精?,C,君相火旺，心肾不交,湿热下注，扰动精室,肾虚滑脱，精关不固,劳伤心脾，气不摄精,
湿热下注型遗精，治疗不宜(    )。,A,清利湿热,清心利湿,早投固涩,苦泄厥阴,
遗精阴损及阳，肾阴阳俱虚，治当(    )。,C,阴中求阳,补肾固涩,滋阴清热,温补肾阳,
遗精初起多见(    )。,B,虚证,虚实夹杂证,实证,热证,
关于溢精的论述，(    )是错误的。,D,属病理现象,每月遗精1至2次,属生理现象,无其他不适,
阳痿这一病名始见于哪本书籍?,A,《素问》,《灵枢》,《景岳全书》,《明医杂著》,
命门火衰型阳痿，治疗除温肾壮阳外，应配合(    )治法。,B,补益心脾,滋肾填精,益肾宁神,疏肝解郁,
《素问》所谓：“肾欲坚，急食苦以坚之”符合(    )型阳痿的治则。,D,肝郁不舒,命门火衰,心脾受损,湿热下注,
患者阴茎痿软，阴囊湿痒臊臭，小便黄赤，苔黄腻，脉濡数，最佳选方为(    )。,A,龙胆泻肝汤,萆藓分清饮,黄连解毒汤,八正散,
患者阳痿不举，烦躁，胁肋胀闷，食少便溏，苔薄，脉弦，有情志所伤史，最佳选方为(    )。,A,逍遥散,疏肝散,小柴胡汤,四磨饮子,
阳痿的治疗主要从(    )人手。,A,病因病机,临床表现,病程长短,患者年龄,
阳痿的病机有五种，其中最多见的是(    )。,B,恐惧伤肾,命门火衰,湿热下注,心脾受损,
“壮火食气”的病理因素是指(    )。,C,肝郁不舒,心脾受损,湿热下注,恐惧伤肾,
阳痿肝肾阴伤，虚火旺动，治宜(    )。,D,滋补肝阴,滋补肾阴,滋补肝肾,滋阴降火,
患者梦中阳举，举则遗精，盗汗，五心烦热，腰膝酸软，舌红，少苔，脉细数，证属哪一型阳痿?,B,肝郁不舒,肝肾阴伤，虚火旺动,命门火衰,气血两虚，宗筋失养,
阳痿常与(    )疾病并见。,D,淋证,梦遗,滑精,早泄,癃闭
引起阳痿虚证的病因有(    )。,B,肝郁化火,恣情纵欲,思虑忧郁,惊恐所伤,湿热下注
(1)辨别有火无火；阳痿而兼见面色觥白，畏寒肢冷，阴囊阴茎冷缩，或局部冷湿，精液清稀冰冷，舌淡，苔薄白，脉沉细者，为无火；阳痿而兼见烦躁易怒，口苦咽干，小便黄赤，舌质红，苔黄腻，脉濡数或弦数者为有火。其中以脉象和舌苔为辨证的主要依据。(2)分清脏腑虚实：由于恣情纵欲，思虑忧郁，惊恐所伤者，多为脾肾亏虚，命门火衰，属脏腑虚证；由于肝郁化火，湿热下注，而致宗筋驰纵者，属脏腑实证。,B,超示：前列腺增生症。5天来小便不通，欲便不能，必经导尿排出。现在症：小便不通，面色萎黄，声低懒言，小腹坠胀，食欲不振，舌质淡，苔白滑，脉细弱。,超示：双肾体积缩小。现在症：小便量少，尿色黄赤，恶心呕吐，口中尿味，倦怠乏力，消瘦厌食，腰膝酸软，舌淡红，苔薄黄，脉细略数。查血肌酐：380umol／L，尿素氮：49mmol／L。,超示：慢性前列腺炎。现在症：梦遗时作，每周3至4次，伴小便热赤不爽，晨起口苦而粘，脘闷食少，舌苔黄略腻，脉濡数。,,
郁病的主要病因是（    ）。,D,外感六淫,饮食不节,房室失节,情志内伤,
郁病初起基本病变为（     ）。,B,食滞,气郁,痰郁,血郁,
各证型郁证所共有的症状为（     ）。,A, 气郁症状,湿郁症状,痰湿症状,血郁症状,
郁证主要受累脏器是(    )。,B,心、肺、脾,心、肝、脾,肝、脾、肾,心、肝、肾,
下列(    )病证属郁证范畴。,C,虚火喉痹,噎膈,梅核气,癫病,
首先采用郁证这一病名的医籍是(    )。,B,《丹溪心法》,《医学正传》,《金匮要略》,《景岳全书》,
证见：情绪不宁，心悸，健忘，失眠五心烦热，盗汗。证属(    )。,C,阴虚火旺之盗汗,肝阴亏虚之郁证,心阴亏虚之郁证,心血不足之盗汗,
“梅核气”与“脏躁”最早记载于(    )。,C,《景岳全书》,《古今医案大全》,《金匮要略》,《临证指南医案》,
临床表现为多思善疑，头晕神疲，心悸胆怯，失眠健忘，纳差，面色不华，舌淡苔白脉细，应辨证为(  )。,A,心脾两虚之郁病,脾血虚之虚劳,脾阳虚之虚劳,心血虚之虚劳,
郁病在调护方面应注意的主要因素是(    )。,A,情志因素,气候因素,饮食因素,睡眠状况,
心阴亏虚之郁病出现心烦失眠，多梦遗精等症状时，治疗应首选(    )。,C,天王补心丹合交泰丸,天王补心丹合滋水清肝饮,天王补心丹合六味地黄丸,天王补心丹合归脾汤,
治疗血证的良方犀角地黄汤首载于(    )。,D,《医学正传》,《诸病源候论》,《景岳全书》,《备急千金要方》,
咳血亦称(    )。,D,衄血,吐血,呕血,嗽血,
便血色红，大便不畅，或有腹痛，为(    )。,C,脾胃虚寒,瘀血内结,肠道湿热,气虚不摄,
黄土汤治疗便血，其治法体现了(    )。,A,健脾温中，养血止血。,理气和中，养血止血。,健脾养心，益气摄血。,清化湿热，凉血止血。,
肝火上炎之鼻衄首选(    )。,A,龙胆泻肝汤,丹栀消遥散,清胃散,清肝饮,
玉女煎治疗鼻衄的证型为(    )。,B,热邪犯肺,胃热炽盛,肝火上炎,气血亏虚,
鼻燥衄血，口干咽燥，身热咳嗽少痰，舌质红，苔薄，脉数，证属(    )。,C,肝火克肺,阴虚火旺,热邪犯肺,肺气亏虚,
下面(    )不是吐血的特征。,B,血随呕吐而出,血呈泡沫状,可混有食物,多伴黑便,
胃热壅盛之吐血，当选用(    )。,D,清胃散,泻心汤合清胃散,玉女煎,泻心汤合十灰散,
吐血且出血量多，而见面色苍白，四肢厥冷，汗出脉微，应选用(    )。,A,独参汤,归脾汤,四逆汤,理中汤,
小便赤黄灼热，尿血鲜红，心烦口渴，面赤口疮，夜寐不安，舌红，脉数，首选(    )。,C,归脾汤,泻心汤,小蓟饮子,六一散,
尿血日久，血色淡红，头晕耳鸣，精神困惫，腰膝酸软，应当(    )。,B,补脾摄血,补益肾气，固摄止血,滋阴降火,益气滋阴，固摄止血,
《先醒斋医学广笔记》提出的治吐血要法中不包括(    )。,D,凉血,行血,补肝,降气,
阴虚火旺型紫斑当用(    )。,C,十灰散,知柏地黄丸,茜根散,归脾汤,
便血色红，伴食少，体倦，面色萎黄，心悸，少寐，舌质淡，脉细，治法为(    )。,D,养血止血,凉血止血,固摄止血,益气摄血,
患者汗出恶风，稍劳汗出尤甚，易于感冒，体倦乏力，脉细弱，苔薄白，宜用(    )。,C,桂枝汤,补中益气汤,玉屏风散,四君子汤，,
肺卫不固型自汗治法是(    )。,D,补气升阳,祛风散邪,调和营卫,益气固表,
汗出恶风，周身酸楚，时寒时热，半身汗出，苔白，脉缓，当用(    )。,B,小柴胡汤,桂枝汤,玉屏风散,归脾汤,
营卫不和自汗，兼见：倦怠乏力，少气懒言等气虚症状者可用(    )。,D,大补黄芪汤,小建中汤,补中益气汤,黄芪建中汤,
阴虚火旺与心血不足汗出较多时均可加用(    )。,D,黄芪、防风,黄芩、黄柏,生地、当归,牡枥、浮小麦,
“盗汗”首见于哪一部医籍?,A,《金匮要略》,《笔花医镜》,《景岳全书》,《临证指南医案》,
邪热郁蒸汗出，湿邪偏重者可用(    )。,C,龙胆泻肝汤,当归六黄汤,四妙丸,五苓散,
《三因极—病证方论》又将盗汗称(    )。,D,脱汗,梦汗,夜汗,寝汗,
自汗，五心烦热，兼午后潮热，面色潮红，口渴，治法为(    )。,D,调和营卫,清肝泄热,养阴止汗,滋阴降火,
《内经》中认为消渴的主要病机为(    )。,A,内热,阴虚,肝火,阳虚,
消渴之名首见于(    )。,B,《难经》,《素问》,《金匮要略》,《诸病源候论》,
以多食为主症之消渴，治疗时首选(    )。,D,玉女煎,消渴方,清胃散,白虎汤,
症见：烦渴多饮，口干舌燥，尿频量多，舌边尖红，苔黄，脉洪数。应选用(    )。,B,玉女煎,消渴方,六味地黄丸,金匮肾气丸,
下消的主症是(    )。,D,多饮,多尿,多食,消瘦,
一患者8年前患消渴，现症口渴引饮，能食便溏或饮食减少精神不振，四肢乏力，舌淡，脉细弱，治疗时首选(    )。,B,健脾丸,七味白术散,消渴方,金匮肾气丸,
阴阳两虚之消渴的治法为(    )。,D,益肾壮阳，补肾固摄,滋阴补肾，润燥止渴,益肾泻火，补肾固摄,温阳滋阴，补肾固摄,
消渴与瘿病共有的症状为(    )。,C,情绪易激动,多饮、多尿、尿甜,多食，易饥,眼球突出,
消渴日久并发疮毒痈疽者，治宜(    )。,D,清热养阴，活血化瘀,活血化瘀，消散痈肿,清热解毒，益气养阴,清热解毒，消散痈肿,
最早提出“内伤发热”这一病名的医籍是(    )。,C,《内经》,《景岳全书》,《症因脉治》,《症治汇补》,
夜间发热，不欲近衣，少寐多梦，盗汗口干咽燥，为(    )。,A,阴虚发热,阴虚火旺盗汗,血虚发热,心血不足盗汗,
最早提出甘温除热法的著作为(    )。,D,《内经》,《金匮要略》,《景岳全书》,《内外伤辨惑论》,
低热，每因生气后加重，精神抑郁，胁肋胀满，，燥烦易怒，口苦纳少，舌红苔黄，脉弦数，证属(    )。,D,气虚发热,血瘀发热,湿郁发热,气郁发热,
甘温除热的代表方剂为(    )。,A,补中益气汤,四君子汤,四逆汤,归脾汤,
血虚发热的治法为(    )。,C,养血清热,养血滋阴,益气养血,养血活血,
发热，热势或高或低，劳累后加剧，倦怠乏力，气短懒言，自汗，食少便溏，舌质淡苔白，脉细弱，应当(    )。,B,补血养心，益气止汗,益气健脾，甘温除热,温补阳气，引火归元,疏肝理气，解郁泻热,
治疗阴虚发热首选(    )。,A,清骨散,六味地黄丸,归脾汤,补中益气汤,
发热而欲近衣，形寒怯冷，四肢不温，少气懒言，腰膝酸软，纳少便溏，面色晃白，舌质淡，苔白润，脉沉细无力，治方首选(    )。,D,六味地黄丸,归脾汤,补中益气丸,金匮肾气丸,
气郁发热日久，热伤阴津，则转化为(    )。,B,阴虚发热,气郁阴虚发热,气阴两虚发热,气血两虚发热,
“精气夺则虚”出自(    )。,B,《素问·调经论》,《素问·通评虚实论》,《难经·十四难》,《诸病源候论·虚劳病诸候》,
内伤发热的辨证要点为(    )。,C,所在脏腑,发病部位,证候虚实,病情轻重    ,主要病因
内伤发热与外感发热应从(    )进行鉴别。,B,病因,临床表现,预后,兼证,脏腑
因恐惧而诱发，眩晕昏倒，面色苍白，呼吸微弱，汗出肢冷，舌淡脉细，应选用(    )。,E,生脉注射液,参附青注射液,独参汤,人参养营汤,四味回阳饮
瘿病与瘰疬鉴别要点包括(    )。,D,肿块大小,肿块形状,肿块数目,肿块部位,肿块性质
偏头痛的病机是（   ）。,D,肾虚精亏,外邪上犯巅顶,瘀血阻滞,肝经风火上扰,
外感头痛以（    ）病邪为主。,A,风邪,寒邪,热邪,湿邪,
记载头痛是由“风痰相结，上冲于头”所致的著作是（      ）。,A,《丹溪心法》,《诸病源候论》,《伤寒论》,《普济方》,
外感头痛总的治疗原则是（     ）。,C,解表散寒,祛湿通阳,通络止痛,祛邪活络,
治疗风寒头痛方宜选取用（     ）。,B,川芎茶调散,羌活胜湿汤,参苏饮,加味香薷饮,
症见头痛如裹，肢体困重，胸闷纳呆，便溏，苔白腻，脉濡。治法宜(    )。,C,化痰降逆,平肝潜阳,祛风胜湿,疏风散寒,
内伤头痛与(    )脏器密切相关。,B,肝肺脾,肝脾肾,心肝肾,肺脾肾,
头痛昏蒙沉重，胸脘满闷，呕恶痰涎，苔白腻，脉滑。证属(    )。,C,风寒头痛,风湿头痛,痰浊头痛,肝阳头痛,
半夏白术天麻汤可治疗(    )。,D,肝阳头痛,风热头痛,风湿头痛,痰浊头痛,
寒邪侵犯厥阴经，症见头巅顶痛，干呕吐涎，四肢厥冷，苔白，脉弦。治疗方剂是(    )。,D,川芎茶调散,羌活胜湿汤,芎芷石膏汤,吴茱萸汤，,
瘀血头痛的疼痛特点是(    )。,B,隐痛绵绵,刺痛固定,头痛如裹,胀痛而眩,
头痛在(    )情况下选用麻黄附子细辛汤。,D,肾阳不足,肾阴不足,外感风寒,肾阳不足兼外感寒邪,
症见头痛而空，眩晕耳鸣，腰膝酸软，舌红少苔，脉沉细。治疗法则是(    )。,C,补益气血,健脾化痰,滋阴补肾,平肝潜阳,
患者突然剧烈头痛，伴喷射样呕吐，肢厥，抽搐。应诊断为(    )。,B,头痛,真头痛,类中风,雷头风,
治疗头痛如刺，固定不移，舌质紫暗，脉细涩，应选用的方剂是(    )。,C,桃红四物汤,血府逐瘀汤,通窍活血汤,身痛逐瘀汤,
引起痰浊头痛的病因是(    )。,C,久病人络,湿邪外侵,脾虚湿停,肝郁化火,
“风寒湿三气杂至，合而为痹”出自(    )。,A,《素问·痹论》,《中藏经·论痹》,《医宗必读·痹》,《症因脉治·热痹》,
下列除(    )外，均为痹病的常见症状。,D,关节疼痛,肌肤麻木,关节屈伸不利,肢体痿软无力,
患者肢体关节疼痛剧烈，不可屈伸，遇冷痛甚，得热痛减，苔薄白，脉弦紧。此属(    )。,B,行痹,痛痹,着痹,热痹,
“治风先治血，血行风自灭”的治则，最适用于(    )。,A,行痹,热痹,痛痹,着痹,
痛痹的治疗法则是(    )。,B,温经散寒，祛风除湿,除湿通络，祛风散寒,补肾祛寒，活血通络,祛风通络，散寒除湿,
患者素有肢体关节疼痛，近日因天气变化，关节疼痛又发，其痛游走不定，关节肿大，伴恶风发热，苔薄黄，脉浮。方剂宜选用(    )。,B,薏苡仁汤,宣痹达经汤,桂枝芍药知母汤,白虎加桂枝汤,
痹病的内在致病因素是(    )。,A,正气不足,感受风寒湿邪,情志不畅,饮食不节,
着痹的症状特点是(    )。,C,关节酸痛，游走不定,关节痛剧，遇冷痛甚,关节肿胀，疼痛重着,关节疼痛，僵硬变形,
