妊娠期阴道少量出血，时下时止而无腰酸腹痛者，应诊断为,B,胎动不安,胎漏,堕胎,滑胎,
妊娠期出现腰酸腹痛，胎动下坠，或阴道少量流血者，应诊断为,D,妊娠腹痛,胎漏,堕胎,胎动不安,
以下哪一项不是胎漏、胎动不安的常见病机,B,血热,肝郁,气血虚弱,血瘀,
某患者停经天，左少腹隐痛天，加重半天，伴阴道少量出血，头晕，面色苍白，舌淡，苔白，脉细数。妊娠试验可疑阳性。B超提示子宫正常大小，左侧附件探及囊性包块约*cm。应诊断为,D,胎漏,胎动不安,堕胎,异位妊娠,
输卵管妊娠发生的原因与哪一项关系最大,A,慢性输卵管炎,输卵管发育不良,盆腔内肿瘤牵引,孕卵外游,
哪一项是异位妊娠破裂时最主要的症状,C,月经史和早孕反应,不规则阴道出血,突然发现下腹剧烈疼痛,休克,
异位妊娠未破损期的主要症候应除哪一项外,B,停经史及早孕反应,一侧下腹撕裂样疼痛,阴道出血淋漓,妇检可触及一侧附件包块、压痛,
异位妊娠未破损期的治法是,D,活血化瘀，清热泻下,活血化瘀，佐以益气,活血化瘀消癥,活血化瘀，消癥杀胚,
妇人癥瘕的主症是,D,下腹部胀满,下腹部疼痛,腰腹部疼痛,,
小儿泄泻的病因下列不符的为,B,感受外邪,精神紧张,内伤饮食,脾胃虚弱,
哮喘的临床特征是,D,"咳嗽气喘, 喉间痰鸣,吸气延长","胸闷气喘, 喉间痰鸣,呼气延长","发热咳嗽, 喉间痰鸣,吸气延长","喘促气急, 喉间痰鸣,呼气延长",
泄泻患儿变证中阴竭阳脱治法为,B,温补脾肾，固涩止泻,挽阴回阳，救逆固脱,健脾益气，助运止泻,健脾益气，酸甘敛阴,
《小儿药证直诀》是古代哪位医家对中医儿科学发展史作出的杰出贡献,D,孙思邈,巢元方,张仲景,钱乙,
下例不正确的是,A,张仲景《黄帝内经》,唐代孙思邈的《备急千金要方》,张仲景《伤寒杂病论》,北宋钱乙《小儿药证直诀》,
小儿病因特点，不常见的是,D,外感因素、乳食因素,先天因素、情志因素,意外因素,物理因素,
哮喘常见护理问题，下列不正确的是,D,胸憋喘促、紫绀,发热、惊厥,潜在窒息,营养失调,
小儿寒性哮喘治疗法则，以下正确的是,C,清肺化痰、止咳平喘,清肺涤痰、定喘止咳,温肺散寒、化痰定喘,泻肺补肾，标本兼顾,
小儿热性哮喘代表方为，以下正确的是,B,小青龙汤合三子养清汤加减,麻杏石甘汤合苏葶丸加减,大青龙汤加减,人参五味子汤合玉屏风散加减,
小儿泄泻治疗原则，以下正确的是,A,以运脾化湿为基本法则,以清肠化湿为基本法则,以健脾化湿为基本法则,以祛风散寒为基本法则,
多发生于儿童的骨折为,A,青枝骨折,螺旋骨折,粉碎骨折,压缩骨折,
下列不是骨折所特有的体征是,A,疼痛,畸形,反常活动,骨擦音,
骨筋膜室综合征的正确处理,D,抬高患肢,立即切开复位，探查血管,拆除外固定,彻底切开筋膜减压,
关于骨折临床愈合的标准，下列哪项是错误的,C,局部无压痛及纵向叩击痛,局部无反常活动,X线片示骨折线消失,连续功能锻炼周骨折不变形,
下列哪项不是骨折治疗的原则,D,动静结合,筋骨并重,内外兼治,滋阴壮骨,
石膏或夹板外固定之后最应注意的是,D,松脱,骨折再移位,压迫性溃疡,血循环受阻,
骨牵引时，预防过度牵引的措施是,C,尽可能减轻牵引重量,患肢功能锻炼,定时测定肢体长度,定时放松牵引装置,
中药治疗骨折后期宜,D,消肿止痛为主,和营止痛为主,活血化瘀为主,补肝肾为主,
尺神经损伤出现,A,爪形手畸形,垂腕手畸形,猿手畸形,马蹄内翻畸形,
脊髓型颈椎病诊断与下列哪项最无关,D,下肢发紧，发麻，行走困难,上肢发麻，肌力弱，持物不稳,大小便失禁,压头及牵拉试验阳性,
颈椎前路手术后最危急的并发症是,A,呼吸困难,喉头水肿,声音嘶哑,伤口出血,
神经根型颈椎病人可能出现,C,颈性眩晕,躯干有紧束感,上肢牵拉试验阳性,行走如履沙滩,
腰椎间盘突出症的基本病因是,B,长期反复弯腰扭转,椎间盘退行性改变,腰部急性扭伤,车祸撞伤腰椎,
首次急性发作的腰椎间盘突出症的治疗方法，应首选,D,推拿、按摩,手术摘除髓核,给予止痛药，必要时局部封闭,绝对卧硬板床休息,
下列哪种骨折属不稳定骨折,C,青枝骨折,嵌插骨折,斜形骨折,横行骨折,
下列哪种汤剂治疗气血亏虚证型颈椎病,D,益气逐痹汤,化瘀除痹汤,四物汤,八珍汤,
下列关于石膏固定的注意事项说法错误的是,A,石膏固定期间不需要做功能锻炼,石膏松动，要及时更换,固定后，随时观察远端血运情况,保持石膏清洁，勿使石膏折裂变形,
下列哪项不是骨折临床症状,D,疼痛与压痛,肿胀与瘀斑,功能障碍,眩晕,
下列不属腰椎间盘突出证的临床症状是,C,腰腿痛,腰椎侧凸,一侧或双侧上肢麻木,腰部活动受限,
下列说法错误的是,D,一般情况下，骨折两周后不宜手法整复,手法操作原则：“子求母”，即骨折的远端对近端,手法整复后摄片复查，固定后再透视，满意方可离去,凡手法复位不满意，均不可切开复位，故要谨慎复位,
下列哪一著作是我国现存最早的伤科学专著,A,《刘娟子鬼遗方》,《仙授理伤续断秘方》,《肘后救卒方》,《伤寒杂病论》,
下列哪种复位方法恢复了骨的正常解剖关系,B,功能复位,解剖复位,手法复位,切开复位,
肛门直肠周围脓肿常后遗,B,内痔,肛瘘,直肠息肉,肛裂,
内痔主要根据什么症状进行分期,B,便血,脱出,疼痛,流脓,
下列哪种疾病最易转变为肛管直肠癌,D,内痔,外痔,肛瘘,直肠息肉,
直肠癌确诊的检查方法是,A,纤维肠镜+组织病理检查,肛门指检,大便隐血试验,CT,
以下哪项不是肛瘘的常见症状,C,肛周流脓,肛门潮湿、瘙痒,便血,疼痛,
皮肤炎症在慢性阶段有浸润肥厚、角化过度时,B,用洗剂为主,用软膏为主,用粉剂为主,用酊剂为主,
皮肤科常见的病因特点，以下不正确的是,D,风、湿、热,毒、虫、肝肾不足,血瘀、血虚风燥,肝阳上亢,
湿邪引起的皮肤病常见的有,A,湿疮（湿疹），天疱疮,牛皮癣,紫癜,红皮病,
下列不属于皮肤病自觉症状的有,B,瘙痒，疼痛,斑疹，丘疹,蚁走感,麻木感,
拔罐的禁忌证不包括,D,高热抽搐、凝血机制障碍者；,皮肤有溃疡、过敏、水肿及大血管处；,孕妇的腹部、腰骶部不宜拔罐,毒蛇咬伤,
"痰浊为病,随气上逆尤易",C,"停滞胃腑,失于和降","留滞脏腑,升降失常","蒙蔽清窍,扰乱心神","流注经络,气机阻滞","阻滞肺气,失于宣降"
"脉象分阴阳,属于阳的脉象是",C,沉,细,浮,小,涩
肾在志为,D,忧,怒,思,恐,喜
"易于导致干咳少痰,或痰黏难咯,甚或喘息胸痛等症的邪气是",D,风邪,寒邪,湿邪,燥邪,暑邪
具有约束纵行诸经功能的是,E,冲脉,任脉,督脉,阴阳维脉,带脉
虚人感冒应选用,C,急则治其标,缓则治其本,标本同治,先扶正后祛邪,先祛邪后扶正
后半夜被称为,C,阴中之至阴,阳中之阴,阴中之阳,阴中之阴,阳中之阳
主四肢肌肉功能的脏是,E,肝,肾,心,肺,脾
具有“朝百脉”生理功能的脏是,C,肝,心,肺,脾,肾
"下注于气街,并下行于足的气是",A,宗气,营气,卫气,脏腑之气,元气
宗气的分布是,D,"熏于肓膜,散于胸腹","与血同行,环周不休","上荣头目,达于周身","上出息道,下走气街","通过三焦,流行全身"
与语言、声音、呼吸强弱有关的气是,E,元气,营气,脏腑之气,卫气,宗气
"奇经八脉中,与脑、髓、肾关系密切的是",C,任脉,维脉,督脉,冲脉,带脉
"以下脏腑关系中,主要体现了与血液生成及运行的是",A,心与脾,心与肾,肺与肝,心与肺,脾与肝
肺病及脾的五行传变是,A,子病犯母,相侮,相克,母病及子,相乘
具有精神互用关系的两脏是,D,肺与脾,脾与肝,肺与肝,心与肾,心与肺
"肾阴不足,心火偏亢,以致心肾不交,其治疗宜用",B,抑木扶土法,泻南补北法,培土制水法,金水相生法,益火补土法
"气机闭阻,外出严重障碍,以致清窍闭塞的病理状态是",D,气逆,气脱,气滞,气闭,气虚
津伤化燥多发生的脏腑是,E,脾、胃、小肠,心、肺、胃,肝、肾、大肠,肝、脾、肾,肺、胃、大肠
"气陷病机,主要是指",A,"气虚无力升举,脏腑位置下垂","气的出入异常,或闭阻,或外散","气机升降失常,脏腑之气逆上","元气耗损,脏腑功能衰退","气机不畅,脏腑功能障碍"
肝在体为,B,肉,筋,皮,骨,脉
又“阴病治阳”的适用病证是,D,阴盛,阳盛,阴阳两虚,阳虚,阴虚
血瘀是指,B,"血分有热,血行加速或迫血妄行",血液循行迟缓或不畅或停滞,"气血失和,不荣经脉","血随气逆,咯血或呕血",血液不足濡养功能减退
与脾关系密切的情志活动是,E,悲,恐,怒,喜,思
"气虚湿盛体质,受邪后多从",A,湿化,寒化,热化,燥化,火化
肾在体为,A,骨,脉,筋,肉,皮
属于“水”的季节是,C,春,长夏,冬,夏,秋
“脉象弦滑”属于下列哪一项概念,C,疾病,症状,体征,病机,证候
导致病势处于迁延状态的病机变化是,B,邪去正虚,正虚邪恋,正盛邪退,邪正相持,邪盛正衰
“气随血脱”的理论基础是,E,气能摄血,气能行血,血能养气,气能生血,血能载气
引起虚寒证的阴阳失调是,C,阳偏盛,阴偏衰,阳偏衰,阴盛则阳病,阴偏盛
"四季的阴阳属性中,夏天属于",E,阴中之阴,阴中之阳,阳中之阴,阴中之至阴,阳中之阳
具有行气血作用的气是,A,宗气,营气,元气,脏腑之气,卫气
推动生长发育的气是,C,中气,宗气,元气,营气,卫气
四时季节属于五行之“土”的是,D,冬,春,秋,长夏,夏
阴阳学说在疾病预防中的作用主要体现在,B,调摄精神,顺时养生,谨避邪气,保养形体,保养正气
阴阳交感的基础是,E,阴阳交感,阴阳平衡,阴阳对立制约,阴阳互根互用,阴阳互藏
足阳明胃经分布在,B,下肢内侧后缘,下肢外侧前缘,下肢外侧中线,下肢内侧前缘,下肢外侧后缘
致病后易困脾的邪气是,C,风邪,火邪,湿邪,燥邪,寒邪
"中气下陷所致的久痢、脱肛及子宫下垂,临床上均可采用升提中气法治疗,以下说法最为恰当的是",B,审因论治,异病同治,辨病论治,同病异治,因人制宜
下列不按五行相生顺序排列的是,A,角、徵、商、宫、羽,酸、苦、甘、辛、咸,青、赤、黄、白、黑,呼、笑、歌、哭、呻,筋、脉、肉、皮、骨
下列选项属于“阳”的属性特点的是,C,下降,面色晦暗,洪脉,涩脉,静止
“生之本”是,B,肾,心,肺,肝,脾
属于“水”的五色是,D,赤,黄,青,黑,白
"素体津亏血耗者,易致邪从",A,燥化,寒化,湿化,实化,虚化
过度恐惧对气机的影响是,A,气下,气上,气乱,气消,气结
与肺相表里的是,E,胆,膀胱,胃,三焦,大肠
"阴气不足,可见于五脏六腑,其最主要的是",D,胃阴虚,心阴虚,肝阴虚,肾阴虚,脾阴虚
"十二经筋的分布,多结聚于",A,关节和骨骼附近,四肢末端,头面及项部,胸腹部位,肌肤体表
阳中求阴适用于,D,实热证,阴阳两虚证,实寒证,虚热证,虚寒证
六腑的生理功能特点是,A,"传化物而不藏,实而不能满","藏精气而不泻,实而不能满","藏精气而不泻,满而不能实","虚实交替,藏而不泻","传化物而不藏,满而不能实"
属于“金”的五志是,E,思,喜,恐,怒,悲
"“阳生阴长,阳杀阴藏”所体现的阴阳关系是",E,阴阳对立制约,阴阳转化,阴阳自和,阴阳交感,阴阳互根互用
正治指的是,C,正确的治疗法则,顺从疾病的某些假象而治的原则,逆其疾病证候性质而治的原则,扶助正气而治的原则,祛除邪气而治的原则
阴阳双方交感和合的动力源泉是,D,阴阳对立制约,阴阳互根互用,阴阳自和与平衡,阴阳互藏,阴阳相互转化
维持血液不逸出于脉外是气的何种作用的体现,E,防御作用,中介作用,温煦作用,推动作用,固摄作用
可损伤肾精的因素是,A,房劳过度,劳力过度,劳神过度,过饱,过饥
“主津”的腑是,D,膀胱,胆,小肠,大肠,胃
"五行学说指导诊断,面见赤色,脉见洪象,则病位在",A,心,肝,肺,脾,肾
热因热用适用于,E,真热假寒证,虚热证,实热证,寒热错杂证,真寒假热证
手少阳三焦经分布在,E,上肢内侧前缘,上肢外侧后缘,上肢内侧后缘,上肢外侧前缘,上肢外侧中线
适用于实寒证的治法是,A,寒则热之,阴中求阳,阳病治阴,阴病治阳,热则寒之
主胞胎的经脉是,A,任脉,督脉,冲脉,带脉,阴维脉
具有“主统血”功能的脏是,B,肺,脾,肝,心,肾
其性升散的邪气是,C,燥邪,风邪,暑邪,湿邪,寒邪
称为“娇脏”的是,D,肝,心,肾,肺,脾
分布于下肢内侧后缘的是,E,足太阴脾经,足厥阴肝经,足阳明胃经,足太阳膀胱经,足少阴肾经
"肝病胁痛,黄疸,久治不愈,渐成“癓积”,属于",D,伏而后发,感而即发,复发,继发,徐发
肝其华在,B,毛,爪,唇,面,发
血热是指,D,"气血失和,不荣经脉",血液循行迟缓或不畅或停滞,"血随气逆,咯血或呕血","血分有热,血行加速或迫血妄行",血液不足濡养功能减退
疠气是指,B,情志变化,乖戾之气,六淫邪气,异常气候,气机失常
后天各种因素使体质具有,D,全面性,普遍性,复杂性,可变性,稳定性
"感邪后某一部位病证未了,又出现另一部位病证的发病类型是",B,感邪即发,并病,继发,徐发,合病
"肝病胁痛,黄疸,久治不愈,渐成“癓积”,属于",D,伏而后发,感而即发,复发,继发,徐发
"具有疏通全身气机,促使气机畅达作用的是",A,肝的功能,肺的功能,肾的功能,心的功能,脾的功能
"对“春夏养阳,秋冬养阴”理解不恰当的是",A,"对于阳虚阴盛体质者,冬当用温热药物培补阳气","对于阴虚阳亢体质者,冬季当用凉润药物滋补阴气",要使人体的阴阳变化与四时阴阳变化相适应,是一种顺时养生的法则,"冬病夏治,夏病冬养是该养生原则的体现"
"“本乎天者亲上,本乎地者亲下”,说明了阴阳学说的哪种关系?",D,阴阳转化,阴阳对立制约,阴阳白和与平衡,阴阳互藏,阴阳互根互用
热者寒之适用的病证是,D,阴偏盛,阴偏衰,阳偏衰,阳偏盛,阴阳两虚
“受盛之官”指的是,A,小肠,大肠,膀胱,胆,胃
“阴中求阳”适用的病证是,A,阳虚,阴阳两虚,阳盛,阴虚,阴盛
易发生风温的季节是,C,夏,长夏,春,秋,冬
具有贮藏血液、调节血量和防止出血作用的脏是,B,肺,肝,心,脾,肾
"根据十二经脉流注次序,大肠经下交的经脉是",D,足太阳膀胱经,足少阳胆经,足厥阴肝经,足阳明胃经,手太阳小肠经
"根据十二经脉流注次序,肾经上交的经脉是",B,手太阳小肠经,足太阳膀胱经,足阳明胃经,足少阳胆经,足厥阴肝经
称为“水脏”的是,E,肝,脾,心,肺,肾
"体阴而用阳,是指",C,脾,肾,肝,肺,心
“阴病治阳”的适用病证是,B,阳盛,阳虚,阴虚,阴阳两虚,阴盛
"《素问·灵兰秘典论》称为“将军之官,谋虑出焉”的脏是",B,脾,肝,肾,肺,心
与湿浊内生关系最为密切的是,A,脾失健运,肾气不足,肺失宣降,三焦气化失司,膀胱失司
属于五行之“火”的五音是,B,羽音,徵音,宫音,角音,商音
具有泌别清浊功能的是,C,胆,三焦,小肠,膀胱,胃
"观察和测量身体各部分的大小、形状、匀称程度,以及体重、胸围、肩宽、骨盆宽度和皮肤与皮下软组织情况可判断",E,体姿,体表形态,性征,体型,体格
实证常见于外感病的阶段是,D,中期和后期,各个阶段,初期,初期和中期,末期
气随汗脱的理论依据是,E,气能生津,气能行津,气能摄津,气能化津,津能载气
与血液运行关系密切的脏腑有,E,脾肺肾肝,心脾肝肾,心肝肺肾,心脾肺肾,心脾肝肺
与痰饮形成关系密切的是,D,脾肝肾功能障碍,肺脾肝功能障碍,心肺脾功能障碍,肺脾肾功能障碍,肝肾心功能障碍
以上说法体现了阴阳对立制约关系的是,A,"阳盛则阴病,阴胜则阳病","阴损及阳,阳损及阴","阴在内,阳之守也","重阴必阳,重阳必阴","雨出地气,云出天气"
行于脉内的气是,B,宗气,营气,脏腑之气,元气,卫气
下列属于风邪性质和致病特征的是,B,"为阳邪,其性炎热","为阳邪,其性开泄","为阳邪,伤津耗气","为阳邪,易生风动血","为阳邪,其性炎上"
元气运行的道路是,D,心脉,胸腔,全身,三焦,脉外
下列著名医家中被称为“补土派”的代表是：,B,叶天士,李东垣,李中梓,张介宾,朱丹溪
“无阳则阴无以生，无阴则阳无以化”说明阴阳：,C,交互感应,对立制约,互根互用,消长平衡,相互转化
“见肝之病，知肝传脾”，从五行之间的相互关系看，其所指内容是：,C,木疏土,木克土,木乘土,木侮土,土侮木
精血同源是指哪两脏的关系：,D,心与肾,脾与肾,肺与肾,肝与肾,心与肝
联结心主血脉和肺司呼吸的中心环节是：,B,元气,宗气,心气,肺气,肝气
具有调节女子行经，男子排精功能的两脏是：,D,心与肾,肺与肾,脾与肾,肝与肾,肝与脾
五脏生理功能的特点是：,C,传化物而不藏，实而不能满,藏精气而不泻，实而不能满,藏精气而不泻，满而不能实,传化物而不藏，满而不能实,虚实交替，泻而不藏
以泄肝健脾法治疗肝旺脾虚证的治法称：,D,益火补土,滋水涵木,培土生金,抑木扶土,金水相生
“见痰休治痰而治气”的理论基础是：,B,气能生津,气能行津,气能摄津,津能载气,津能生气
主司二便的脏是：,A,肾,脾,小肠,大肠,肺
心主神志最主要的物质基础是：,B,津液,血液,精液,宗气,营气
十二经脉在腹面的分布，由内向外的顺序为：,C,足阳明经、足少阴经、足太阴经、足厥阴经,足阳明经、足太阴经、足少阴经、足厥阴经,足少阴经、足阳明经、足太阴经、足厥阴经,足少阴经、足阳明经、足厥阴经、足太阴经,足厥阴经、足阳明经、足少阴经、足太阴经
致病后可出现各种秽浊症状的邪气是：,D,风邪,寒邪,热（火）邪,湿邪,燥邪
病人持续高烧，突然出现面色苍白，四肢厥冷，脉微欲绝，其病机应是：,A,重阳必阴,寒极生热,阳胜则热，从阴化寒,阳损及阴,阳长阴消
何种气血关系失调，可出现人体某部瘫痪不用，甚至萎缩：,B,气滞血瘀,气虚血瘀,气不摄血,气随血脱,气血两虚
形成血虚病机的原因，下列哪项是不确切的：,C,失血过多，血脉空虚,脾虚气弱，生化无源,房劳过度而耗伤,,
“壮水之主，以制阳光”指:,C,阴中求阳,阳中求阴,阳病治阴,阴病治阳,治寒以热
攻补兼施治则适用于何证：,E,虚证,真实假虚证,实证,真虚假实证,虚实夹杂证
哪一项不属于内寒所表现的症状：,C,四肢逆冷,面色苍白,恶寒,蜷卧,少腹冷痛据按
阴阳属性的征兆是：,B,动静,水火,上下,晦明,寒热
痰饮、瘀血、结石在形成过程中均与下列哪项有关：,C,寒凝,气虚,气滞,血热,湿热
属于“子病犯母”的是：,C,脾病及肺,脾病及肾,肝病及肾,肝病及心,肺病及肾
梅核气的形成是由于：,D,肝气郁于咽喉,痰饮聚于咽喉,肿块生于咽喉,痰气交阻于咽喉,瘀血积于咽喉
患者素体虚弱，自汗易感冒，近2年呼吸困难，活动则气喘，呼多吸少。诊为：,D,肺气虚弱,脾气虚弱,肺失宣肃,肾不纳气,肺肾气虚
祛风湿，治疗风湿痹宜选,B,木瓜,苍术,独活,威灵仙,桑寄生
方剂的变化是指,B,剂量的增减,药味的增减,产地的变化,方名的变化,剂型的变化
汤剂的特点,B,吸收快,迅速发挥药效,便于加减使用,照顾到病人或病证的特殊性,药效持久
大承气汤适用于,A,阳明腑实证,热结旁流证,热厥属里热实证,下焦蓄血证,痉病或发狂属里热实证
麻子仁丸中各药的作用，下列正确的是,A,火麻仁润肠通便,大黄泻热通便,杏仁降气润肠,白芍养阴和里,枳实、厚朴行气宽中
生活失度导致妇科病，主要是,A,房劳多产,饮食不节,劳逸失常,跌扑损伤,嗜烟酗酒
现代社会出现新的病因有,A,免疫因素,生物因素,环境因素,淤血,痰饮
肾的功能失常，冲任损伤，导致妇科病，临床上分,A,肾气虚,肾阳虚,肾阴虚,肾阴阳两虚,阴虚阳亢
脾的功能失常，主要有,A,脾失健运,脾失统摄,脾虚下陷,脾胃虚弱,肝胃不和
在问诊时，主诉应该包括哪些要素,A,主要症状,主要体征,主要症状发生的持续时间,诱因,月经史
血瘀之因，妇产科常见的有,A,寒凝,气滞,热灼,气虚,外伤
下列哪些病证，呈现急性下腹痛时，可运用止疼的急治法,A,原发性痛经,经期间腹痛,子宫内膜异位症,慢性盆腔炎,卵巢囊肿蒂扭转
胎动不安的主要症状是,B,停经后阴道少量出血,腰腹下坠,少腹疼痛,腰酸,小腹痛
胎漏、胎动不安的常见病因病机是,A,血热,血瘀,肾虚,肝郁,气血虚弱
胎漏、胎动不安的患者应注意,A,不看刺激、惊险小说、电影,避免过度疲劳，跌扑外伤,不宜穿高跟鞋,禁私自用药,禁烟酒、浓茶和咖啡
输卵管妊娠发生的原因与哪些因素有关,A,慢性输卵管炎,输卵管发育不良,输卵管结扎后再通,盆腔内肿瘤牵引,孕卵外游
异位妊娠破裂时可有哪些临床表现,A,停经史和早孕反应,不规则阴道流血,突然发生下腹剧烈疼痛,休克,后穹隆穿刺可抽出不凝血
可参考癥瘕辨证治疗的西医妇科疾病包括,B,子宫肌瘤,卵巢肿瘤,盆腔炎性包块,陈旧性宫外孕血肿,盆腔结核性包块
根据癥瘕的临床特点的不同，古代医家曾分别称为,A,积聚,瘕,石瘕,肠覃,癥
急性盆腔炎最常见的是,A,输卵管炎,子宫内膜炎,盆腔脓肿,输卵管卵巢炎,卵巢炎
慢性盆腔炎既往史常有,A,急性盆腔炎,阑尾炎,不洁性生活史,月经不调,阴道炎
慢性盆腔炎临床常见的证型是,C,气虚血瘀,气滞血瘀,寒湿凝滞,湿热瘀结,痰湿瘀结
胶布皮肤牵引的注意事项包括,A,注意观察患肢末梢的血液循环,胶布和绷带有无松脱,有无胶布过敏，水泡，皮炎,牵引部位均应剃毛,抬高患肢
神经损伤与手的畸形关系中，下列哪些是正确的,A,垂腕垂指畸形—桡神经损伤,扳机手畸形—正中神经损伤,爪形手—尺神经损伤,猿手畸形—桡神经损伤,第、手指夹纸实验阳性—尺神经损伤
小夹板外固定后应注意,B,抬高患肢,观察患肢血运及活动情况,定期复查,扎带松紧度适宜,正确的功能锻
骨牵引的护理要点,A,各种骨牵引均抬高床尾～cm,注意有无肢体压迫性溃疡,指导患者行合理的功能锻炼,做到有效牵引,每天测量肢体长度与健侧比较
骨折病人功能锻炼,A,有利消肿,促进局部血液循环,防止关节僵硬、肌肉萎缩,应循序渐进,主动活动为主
石膏固定的注意事项有,A,石膏干固前，可用电吹风或其他方法烘干,观察患肢远端血运情况,注意观察有无固定性压痛,石膏松动，及时更换,指导合理功能锻炼
颈椎非手术治疗包括,A,颈椎牵引,推拿和按摩,封闭,药熨,化学治疗
下列护理措施说法正确的是,A,颈项僵硬可用红花油、麝香风湿油或按摩乳涂擦，按摩直至局部发红,注意颈部的保暖，忌吹风受寒或淋雨受湿,椎动脉型，应使用软颈围领限制头颈活动，不要过分旋转或屈伸，防止眩晕引起的猝倒,保持情绪乐观，学会自我心理调节,避免颈部劳累，不要长时间伏案工作，保持正确姿势
下列哪些症状列属中医理论腰椎间盘突出症血瘀证型,A,腰腿痛如刺，痛有定处，日轻夜重,腰背酸痛，腿膝乏力,舌质暗紫，或有瘀斑,腰部疼痛，腿软无力，痛处伴有热感，遇热或雨痛增,脉弦紧或涩
关于腰椎间盘突出症的健康教育正确的是,A,注意腰背部保暖，免受风寒之邪,注意劳动姿势，避免久坐、久站,保持治疗期间可用腰围保护，不可长期使用,生活有规律，饮食以补肝肾、壮筋骨为原则,平时注意多晒太阳，避免骨质疏松
下列哪些临床表现应是腰椎间盘突出症湿热证型所体现,A,腰部疼痛，腿软无力，痛处伴有热感，遇热或雨无痛增,恶热口渴，小便短赤,苔黄腻，脉濡数或弦数,苔白或腻，脉沉紧或濡缓,腰背酸痛，腿膝乏力，劳累更甚，卧则减轻
下列关于颈椎病说法正确的是,A,颈椎牵引是治疗颈椎病的有效方法之一，通常采用枕颌布带牵引,颈肩背痛为气滞血瘀所致者用伸筋草方，局部热敷治疗,颈椎病常用手术方法有前路手术和后路手术,注意枕头的高低及位置，平卧时枕头不宜过高，侧卧时，枕头可与肩同等高度,坚持颈部的功能锻炼，但不可使用蛮力或强行活动
下列关于腰椎间盘突出症说法正确的是,A,所有该患者均可针灸治疗,急性期应绝对卧床休息,腰腿痛为血瘀所致者在服舒筋活血汤期间应局部保暖，免受风寒湿邪,饮食宜营养丰富，忌生冷油腻食物,中药汤剂均可温服
下列哪些是夹板固定的禁忌症,A,较严重的开放骨折,难以整复的关节内骨折,难以固定的骨折,肿胀严重伴有水泡,伤肢远端脉搏微弱，末梢血循环较差
为什么腰椎间盘突出症术后卧床期间也应坚持四肢活动锻炼,B,预防肌肉萎缩,增强机体血液循环功能,提高机体健康状态,促进疾病愈合，预防并发症,防止神经根粘连
肛管直肠癌的早期表现有,B,便血,肠梗阻,腹部肿块疼痛,排便习惯改变,贫血、消瘦
痔常用的外治法有,A,挂线疗法,熏洗法,外敷法,塞药法,枯痔法
外痔的分类包括,A,炎性外痔,混合痔,静脉曲张性外痔,结缔组织性外痔,血栓外痔
肛门直肠疾病常见的发病因素有,A,风,湿,热,燥,气虚血虚
某患者，痔术后尿潴留，可采取哪些护理措施,A,车前子g，泡茶饮,针刺，取穴三阴交、阴阳陵泉、中极、关元、气海,新斯的明肌肉注,保留导尿,使用速尿
熏洗法的作用有,A,清热解毒,收敛止血,消肿止痛,祛风除湿,杀虫止痒
毫针的进针方法,A,指切进针法,舒张进针法,夹持进针法,提捏进针法,提插捻转法
毫针针刺的禁忌症,B,患者疲乏，饥饿或精神高度紧张,皮肤有感染、瘢痕或肿痛的部位,高度水肿及有出血倾向患者,小儿囟门未闭时，头顶腧穴,孕妇的下腹、腰骶部及合谷、三阴交、昆仑、至阴等通筋活络的腧穴
耳穴埋籽的禁忌症包括,A,怀孕的妇女,有习惯性流产的孕妇,月经期的妇女,耳部有炎征、冻伤的部位,耳廓皮肤有充血、丘疹、脱屑、凹陷等
耳穴的分布规律正确的是,A,与头面部相应的穴位在耳垂或耳垂邻近,与上肢相应的穴位在耳舟,与躯干和下肢相应的穴位在对耳轮和对耳轮上、下脚,与内脏相应的穴位多集中在耳甲艇和耳甲腔,消化道的穴位在耳轮脚周围环行排列
常用的拔罐方法包括,A,留罐法,闪罐法,走罐法,刺血拔罐,留针拔罐
耳穴交感的主治包括,A,消化、循环系统功能失调,哮喘,急惊风,感冒,痛经
关于涂药，以下说法正确的是,A,涂药前需清洁局部皮肤,涂药不宜过厚、过多，以防毛孔闭塞,刺激性较强的药物，不可涂于面部；婴幼儿禁用,混悬液先摇匀后再涂药,涂药后，如局部皮肤有丘疹、奇痒或局部肿胀等过敏现象，应立即停用，并将药物擦净或清洗，必要时遵医嘱给予抗过敏药物
以下哪种情况不适合用药熨法,A,腹痛伴有发热,局部无知觉,大血管处,跌打损伤引起的局部肿痛,虚寒性的胃脘痛
白疕是指,A,"“肤如疹疥,色白而痒,搔起白皮”而得名",是一种常见的易于复发的炎症性皮肤病,其特点是在红斑上有松散的银白色鳞屑,抓之有薄膜及露水珠样出血点,"病程长,不易根治,男多于女,有遗传倾向"
根据白疕的临床特征可分为,A,寻常型,脓疱型,关节型,红皮病型,普通型
湿疮的特点是,A,皮损对称分布，多形损害，剧烈瘙痒，有湿润倾向,根据病程可分为急性、亚急性、慢性三类,急性湿疮以丘疱疹为主，有渗出倾向,慢性湿疮以苔藓样变为主，易反复发作,亚急性湿疮以丘疹、结痂、鳞屑为主，剧烈瘙痒，夜间尤甚
皮肤病外用药使用原则,A,根据病情阶段用药,用药先温和后强烈,用药浓度先低后浓,注意控制感染,注意药敏反应
