Question,A,B,C,D,E,answer,,,
观察舌苔辨别病位的浅深主要是依据,舌苔的有无,舌苔的润燥,舌苔的厚薄,舌苔的颜色,舌苔有根无根,C,,诊断学,单选
观察舌苔辨别病邪的性质主要是依据,舌苔的有无,舌苔的润燥,舌苔的厚薄,舌苔的颜色,舌苔有根无根,D,,诊断学,单选
观察舌苔辨别津液的存亡主要是依据,舌苔的有无,舌苔的润燥,舌苔的厚薄,舌苔的颜色,舌苔有根无根,B,,诊断学,单选
"咳喘无力，声低气短，吐痰清稀，自汗，舌淡,脉弱。应诊为：(    )",肺气亏虚证,肾不纳气证,肺气阴两虚证,心肺气虚证,脾肺气虚证,A,,诊断学,单选
咳声清脆者多为,燥咳,寒咳,湿咳,肺热,,A,,诊断学,单选
咳声如犬吠，多属,顿咳,白喉,燥咳,肺痨,肺痿,B,,诊断学,单选
咳声如犬吠样者，称为,百日咳,白喉,燥咳,热咳,,B,,诊断学,单选
咳嗽，咳有痰声，痰多色白易咳。其临床意义是,燥邪犯肺,痰湿阻肺,热邪犯肺,肺气虚损,肺阴不足,B,,诊断学,单选
咳嗽，胸痛，气喘，痰中带血，体温39.8℃，舌红苔黄，脉滑数。此为,实热证,亡阳证,虚热证,虚寒证,亡阴证,A,,诊断学,单选
咳嗽气喘，痰多色白，或喉中痰鸣，胸闷，形寒肢冷者，最宜,风寒犯肺证,寒痰阻肺证,饮停胸胁证,痰湿阻肺证,肺气亏虚证,B,,诊断学,单选
咳嗽痰多，白滑易于咯出，证属,风热袭肺,寒邪客肺,热邪犯肺,痰浊阻肺,燥邪犯肺,D,,诊断学,单选
咳嗽哮喘，咯稀白痰，形寒肢冷，舌苔白，脉沉紧，应属,寒饮停肺证,寒滞胃肠证,寒滞心脉证,寒滞肝脉证,寒凝胞宫证,A,,诊断学,单选
寒热往来胸胁苦满嘿嘿不欲饮食口苦咽干目眩脉弦是下列哪项的典型表现?,太阳病证,少阳病证,阳明病证,太阴病证,,B,,诊断学,单选
寒盛剧痛，气血凝滞病人多见,面色淡青或青黑,面色萎黄，面睑虚浮,面青灰唇青紫，肢厥脉微,面色青黄,眉间、鼻柱、唇周发青,A,,诊断学,单选
寒湿困脾证中难以见到的症状是,黄色鲜明,腹胀便溏,泛恶欲呕,肢体困重,脉象濡缓,A,,诊断学,单选
寒湿困脾证最常见的原因是：(    ),暴饮暴食,过食生冷,思虑过度,劳倦内伤,久泄久痢,B,,诊断学,单选
寒痰阻肺证的临床表现为,咳嗽痰白清稀，恶寒发热,喘咳吐稀白痰，形寒肢冷,咳喘吐泡沫痰，心悸水肿,咳嗽气喘，痰稠量多易咯,咳嗽气喘息粗，痰黄稠黏,B,,诊断学,单选
寒痰阻肺证的临床表现中不易见到的症状是,形寒肢冷,咳嗽气喘,痰稀色白,舌苔白滑,脉象浮紧,E,,诊断学,单选
寒邪凝滞的疼痛特征是,绞痛,刺痛,窜痛,掣痛,重痛,A,,诊断学,单选
寒邪易导致的证候是,瘾疹瘙痒，或肢体麻木，或面睑浮肿,烦渴饮冷，肢倦乏力，汗多尿少,脘腹或腰背冷痛，或咳喘痰稀白量多,口鼻咽喉干燥，痰少质黏难咯,肢体关节重痛，阴雨天加重,C,,诊断学,单选
寒邪阻络常可引起,隐痛,冷痛,掣痛,空痛,酸痛,B,,诊断学,单选
寒淫患者腹痛肠鸣腹泻多因为,寒凝经脉,寒凝四肢,寒遏气机,寒中于里,寒束于表,D,,诊断学,单选
寒饮停胃证最主要的临床表现是：(    ),脘腹痞胀,呕吐清水,胃中有振水声,头晕目眩,口淡不渴,B,,诊断学,单选
寒证一般不与下述哪项证兼并存在,风证,湿证,痰证,燥证,暑证,E,,诊断学,单选
寒证与热证的鉴别要点，下列哪项不对,寒证恶寒喜热，热证恶热喜冷,寒证口和不渴，热证口渴喜饮,寒证大便泄泻，热证大便秘结,寒证舌苔白润，热证舌苔黄燥,寒证脉迟或紧，热证脉数或洪,C,,诊断学,单选
寒证与热证的相互转化，关键的因素是,邪气的性质,邪气的进退,邪正的对比,阴液的盈亏,阳气的盛衰,E,,诊断学,单选
寒滞肝脉证的临床特点是,头晕目眩，胸胁胀闷,少腹冷痛，睾丸坠胀,脘腹冷痛，得温则减,形寒肢冷，舌苔薄白,阴囊湿疹，外阴瘙痒,B,,诊断学,单选
寒滞胃脘证最主要的临床表现是,胃脘冷痛,嗳腐吞酸,胃中振水声,头晕目眩,饥不欲食,A,,诊断学,单选
何证在临床上可见牙龈肿痛溃烂或齿衄：(    ),肝火上炎证,胃热炽盛证,心火上炎证,痰火扰神证,肺热炽盛证,D,,诊断学,单选
红瘦舌，黑干苔，最不见于,阴虚证,阴虚火旺,津枯血燥,胃肠热结,阳虚寒盛,E,,诊断学,单选
红肿高大，根盘紧束，炽热疼痛者，属：(    ),痈,疽,疔,疖,风疹,A,,诊断学,单选
洪脉的脉象特征是,浮散无根,浮大中空,浮大有力,浮而细软,如按鼓皮,C,,诊断学,单选
洪脉的特征是,脉体宽大，浮而搏指,脉体宽大有力，状若波涛汹涌,脉体宽大，但脉来无汹涌之势,脉体宽大，浮大中空,脉体宽大，但按之力不足,B,,诊断学,单选
喉中如有异物梗阻，为：（      ）,痰浊阻肺,痰迷心窍,痰凝肌肤,痰气交阻于咽,痰阻经络,D,,诊断学,单选
呼吸微弱而声低，气少不足以息，言语无力者多为,上气,短气,少气,夺气,气喘,C,,诊断学,单选
呼吸微弱气少不足以息者,少气,短气,息粗,息微,嗳气,A,,诊断学,单选
花剥苔表示：(    ),脾虚湿侵,脾肾阳虚,气血不足,胃之气阴两虚,肾阴不足,D,,诊断学,单选
滑精频作，神疲乏力，面色少华，舌淡苔白，脉沉弱，应诊,心肾不交证,肾气不固证,心脾两虚证,肾阴亏虚证,肾精不足证,B,,诊断学,单选
滑脉的脉象是,轻取即得,往来流利,三部举按有力,来盛去衰,厥厥动摇,B,,诊断学,单选
滑脉的主病有,实热,食积,两者均有,两者均无,,C,,诊断学,单选
滑数脉多见于,脾虚证,血瘀证,表寒证,表热证,痛证,F,,诊断学,单选
滑数脉主病常为,痰热痰火,肝火夹痰,气分热盛,肝郁化火,素体痰盛，又感外邪,A,,诊断学,单选
滑苔常见于,痰湿,湿热,实热,气滞,血瘀,A,,诊断学,单选
缓脉不见于,正常人,脾胃虚弱,阳虚湿困,湿邪内阻,阴寒积聚,E,,诊断学,单选
缓脉常见于,肝郁气滞,湿邪困阻,瘀血内停,食积停滞,虚阳浮越,B,,诊断学,单选
缓脉的特征是,脉来一息四至,脉来一息四五至,脉来一息五六至,脉来一息五到七至,脉来一息七八至,A,,诊断学,单选
患者，男，23岁。3天来恶寒发热，鼻塞流浊涕，头痛咽痛，咳嗽，口干，稍有汗出，舌尖红苔薄黄，脉浮数。其咳嗽属于,风热表证,风热犯肺,痰湿阻肺,痰热壅肺,阴虚肺燥,B,,诊断学,单选
患者，男，30岁，高热3天，大渴喜饮，面赤，汗出，舌红苔黄燥。其发热的病机是,气分热盛,阳明腑证,消渴病,温病营分证,湿热证,A,,诊断学,单选
患者，男，30岁，两日来恶寒发热，无汗，头身疼痛，口渴引饮，心烦失眠，尿黄，苔薄黄，脉浮紧。其病机为,表里俱热,表寒里热,真寒假热,真热假寒,表热里寒,B,,诊断学,单选
患者，男，36岁，患胃病10年。近1周来干呕时作，口渴心烦，胃脘隐痛，知饥而不欲饮食，便结溲黄，舌红少苔，脉弦细偏数。其胃痛属于,食滞胃脘,胃火炽盛,胃阴亏虚,肝气犯胃,脾胃虚弱,C,,诊断学,单选
患者，男，40岁，自述右胁胀痛1个月，腹胀，厌食油腻，舌红苔黄腻。其胁痛的病机是,脾胃湿热,肝胆湿热,痰湿内蕴,胃火炽盛,肝胃不和,B,,诊断学,单选
患者，男，45岁，突发耳鸣，声大如潮，按之不减，舌红苔黄，脉弦数。其耳鸣的病机为,阴虚火旺,肝胆火盛,肝肾阴虚,肾精亏损,心火亢盛,B,,诊断学,单选
患者，男，55岁，近两个月来经常饭后嗜睡，神倦乏力，食少。其嗜睡的病机是,痰饮内停,胃强脾弱,痰湿困脾,心肾阳虚,中气不足,E,,诊断学,单选
患者，男，55岁，近日排便不爽，肛门灼热，小便短黄，大便黄糜，臭秽难闻，舌红苔黄腻，脉滑数。其病机是,食滞胃脘,痰饮停胃,寒客胃肠,肝脾不调,大肠湿热,E,,诊断学,单选
患者，男，55岁，头痛、眩晕两年余，未系统治疗，近两周症状加重，现症见眩晕耳鸣，头目胀痛，急躁易怒，腰膝酸软，头重脚轻，舌质红，脉弦细数。其头痛的病机是,肝风内动,肝火上炎,肝肾阴亏,肝阳上亢,肝胆湿热,D,,诊断学,单选
患者，男，56岁，患头晕、头痛5年。前天头痛加重，并见口眼歪斜，语言不畅，时感四肢麻木，左半身不能活动，舌红，苔黄腻，脉弦滑。此属于,中风,癫病,痫病,狂病,郁病,A,,诊断学,单选
患者，男，59岁。1周前吃冰箱内水果后，肠鸣腹泻加重，脘腹痞满，舌苔白腻，脉沉弦。其肠鸣属于,胃肠虚寒,痰饮停胃,寒客胃肠,肝脾不调,肠道气滞,C,,诊断学,单选
患者，男，60岁，咳喘反复发作20年，近日因劳累而出现喘息短气，呼多吸少，动则尤甚，自汗乏力，腰膝酸软，舌淡苔白，脉弱。其病机是,肺气亏虚,肺脾气虚,中气下陷,寒饮阻肺,肺肾气虚,E,,诊断学,单选
患者，男，65岁，近1年来渐发耳鸣，声小如闻蝉鸣，按之鸣减或暂止。其耳鸣的病机为,肝风内动,肝胆火盛,肝肾阴亏,气血亏损,肝经风火,C,,诊断学,单选
患者，男，69岁。患者神志清楚，思维正常，但语言不流利，或吐字不清。此属于,错语,言謇,谵语,郑声,狂言,B,,诊断学,单选
患者，女，23岁，自述月经量多半年余，现症见经色淡红，伴神疲乏力，食少便溏，面白无华，舌淡苔白，脉细无力。其病机为,脾虚气陷,肝郁气滞,热邪内迫,脾不统血,瘀阻血脉,D,,诊断学,单选
患者，女，38岁，症见心悸失眠，头晕健忘，面白，月经后期，舌淡，脉细。其心悸多属,血虚失养,心胆气虚,阴虚火旺,心阳亏虚,水湿内停,A,,诊断学,单选
患者，女，41岁，近两个月来双目干涩不适，视物昏花，头晕，面白，月经量少，眼睑色淡，舌淡苔白，脉细。其目昏的病机是,阳气亏虚,精血亏虚,津液亏虚,肾精亏虚,气血亏虚,B,,诊断学,单选
患者，女，42岁，嗜辛辣香燥之品，半年来时有胃痛，近日加重。现症见胃脘隐痛不舒，时有干呕，饥不欲食，口燥咽干，便干，舌红少津，脉细数。其病机是,胃阳不足,胃火炽盛,胃阴亏虚,肝气犯胃,脾胃虚弱,C,,诊断学,单选
患者，女，47岁，腹胀，便溏，食少，面色淡黄而虚浮。其腹胀表现属于,脾胃虚寒,脾虚湿盛,阳虚水泛,气滞湿阻,食积胃肠,B,,诊断学,单选
患者，女，47岁，近半年来经常头晕耳鸣，两目干涩，五心烦热，夜寐多梦，口燥咽干，舌红少津，脉弦细数。其目涩的病机是,肝肾阴虚,精血亏虚,津液亏虚,肾精亏虚,气血亏虚,A,,诊断学,单选
患者，女，50岁。病人头晕心悸，失眠健忘，面色淡白，气短懒言，其头晕的病机是,痰湿内阻,阳气不足,阳气暴脱,气血亏虚,肾精亏虚,D,,诊断学,单选
患者，女，50岁。病人头晕心悸，失眠健忘，面色淡白，气短懒言。其头晕属于,痰湿内阻,阳气不足,阳气暴脱,肾精亏虚,气血亏虚,E,,诊断学,单选
患者，女，62岁，平素眩晕耳鸣，失眠多梦，突然口眼歪斜，舌强言謇，舌红苔黄腻，脉弦滑。患者强硬舌的形成机理是,外感热病，邪入心包,热盛伤津，筋脉失养,肝肾阴虚，筋脉失养,气血亏虚，阴液亏损,肝风夹痰，阻滞络脉,E,,诊断学,单选
患者，女，67岁。猝然昏倒，不省人事，伴口眼歪斜，半身不遂，诊断是,痫病,癫病,狂病,厥病,中风,E,,诊断学,单选
患者“ 动风” 时并无高热、汗出的症状， 不宜诊断为,肝阳化风,血虚动风,阴虚动风,热极生风,慢脾惊风,D,,诊断学,单选
患者出现发热，恶风，头痛咳嗽，咽喉肿痛，大便溏泄，小便清长，证属：（         ）,上热下寒证,上寒下热证,真寒假热证,表热里寒证,实中夹虚,D,,诊断学,单选
患者大出血时面色苍白四肢厥冷大汗淋漓脉微欲绝辨证是,气随血脱,气不摄血,热迫血行,瘀阻脉络,亡阳证,A,,诊断学,单选
患者淡漠寡言，闷闷不乐，精神痴呆，喃喃自语，哭笑无常。多属：(    ),癫病,痫病,狂病,郁症,以上都不是,A,,诊断学,单选
患者恶寒发热，头身疼痛，无汗，脉浮紧，与太阳伤寒证相符，此诊断思维方法是,归纳法,类比法,演绎法,反证法,预测法,B,,诊断学,单选
患者发热，恶风，头痛咳嗽，咽喉肿痛，大便溏泻，小便清长。证属,上热下寒证,上寒下热证,真寒假热证,表热里寒证,实中夹虚,D,,诊断学,单选
患者发热，卒然昏倒，汗出不止，口渴，气急，甚或昏迷惊厥，舌绛干燥，脉濡数，证属：（      ）,亡阳,亡阴,中暑,心阳暴脱,,C,,诊断学,单选
患者浮肿、尿少反复发作3年，腰以下肿甚，腰酸，畏寒肢,风水相搏证,水湿浸渍证,脾虚水泛证,肾虚水泛证,血瘀水停证,D,,诊断学,单选
患者面色淡白，神疲乏力，少气懒言，胸胁刺痛，痛处固定不移，舌淡紫有瘀斑，脉细涩无力。其病机为,肝郁气滞,气滞血瘀,气阴两虚,气虚血瘀,气不摄血,D,,诊断学,单选
患者男，2岁。口腔、舌上布满白屑，形似奶块，属于,口疮,鹅口疮,麻疹黏膜斑,积食,手足口病,B,,诊断学,单选
患者男，40岁。平素急躁易怒，1日前猝然昏倒，不省人事，口眼㖞斜，半身不遂，舌红，苔白，脉弦，其舌象可见,痿软舌,裂纹舌,吐弄舌,强硬舌,齿痕舌,D,,诊断学,单选
患者男，72岁。久病后精神萎靡，神志不清，面色晦暗无华，目无光彩，呼吸微弱，言语断续低弱，属于,少神,神乱,假神,失神,厥证,D,,诊断学,单选
患者女，25岁。3日前皮肤出现红斑，瘙痒，迅速肿胀，形成丘疹、水疱，破后渗液，形成红色湿润之糜烂面，属于,湿疹,瘾疹,麻疹,水痘,风疹,A,,诊断学,单选
患者女，25岁。3日前突发头面皮肤焮红灼热，肿胀疼痛，色如涂丹，压之褪色，诊断为,抱头火丹,大头瘟,痄腮,发颐,水肿,A,,诊断学,单选
患者女，45岁。咳喘反复发作5年余，近日因工作劳累加重，患者坐而喜俯，神疲乏力，少气懒言，咳喘无力，舌淡，脉弱。其病机为,肺实气逆,肺气亏虚,肺阴亏虚,水饮停肺,肺脾气虚,B,,诊断学,单选
患者女，60岁。突发狂躁乱动，言行失常，打人毁物，骂詈不避亲疏，诊断为,痫病,癫病,狂病,脏躁,中风,C,,诊断学,单选
患者伤湿，其临床表现是：（      ）,发热恶风，头痛，汗出，苔薄白，脉浮缓,恶寒发热．头痛，无汗，苔薄白，脉浮紧,恶热汗出，口渴疲乏，太薄黄，舌红，脉虚数,发热体倦，头身重痛，胸闷不渴，苔白滑，脉缓,发热恶风，头痛，汗出，苔薄白，脉浮数,D,,诊断学,单选
患者身倦乏力少气懒言胁痛如刺拒按舌淡有紫斑脉沉涩。此属,气虚证,血瘀证,气虚血瘀证,气血两虚证,,C,,诊断学,单选
患者身热汗出，咽干口渴，咳嗽胸痛，痰中带血，鼻干唇燥，苔黄少津，脉象浮数，证属：（      ）,肺热壅盛,肺火,温燥,火淫证候,风淫证候,C,,诊断学,单选
患者身灼肢温，汗出如油，虚烦躁扰，脉细数疾，按之无力。证属,湿热郁蒸,暑伤津气,亡阳,亡阴,阴阳俱亡,D,,诊断学,单选
患者神识清楚而语言时有错乱，语后自知言错者，称,郑声,谵语,独语,错语,狂言,D,,诊断学,单选
患者视物不清，模糊不明者，多属,目眩,目昏,雀目,歧视,目痒,B,,诊断学,单选
患者手足软弱无力，行动不灵而无痛是：(    ),痹证,痿证,中风后遗症,瘫痪,痫证,B,,诊断学,单选
患者四肢疼痛较剧，痛有定处，阴寒加重，属于,行痹,热痹,痛痹,着痹,以上都不是,C,,诊断学,单选
患者头面浮肿，继而遍及全身，按之没指，小便短少，伴见肢体沉重困倦，脘闷纳呆，泛恶欲吐，舌苔白腻，脉沉，证属：（      ）,水湿侵淫,风水相搏,脾虚水肿,脾肾阳虚,肾阳虚衰,A,,诊断学,单选
患者头晕目眩，少气懒言，乏力自汗，面色萎黄，心悸失眠，舌淡而嫩，脉细弱，证属：（      ）,血虚,气虚,阴虚,气血两虚,阳虚,B,,诊断学,单选
患者心烦不寐，面红，口舌生疮，尿黄，舌尖红，证属,痰火扰心,肝火上炎,小肠实热,心火亢盛,,D,,诊断学,单选
患者心烦口渴口舌生疮小便赤涩尿道灼痛舌尖红赤苔黄脉数。此属,心火亢盛证,肝火上炎证,小肠实热证,膀胱湿热证,,C,,诊断学,单选
患者心悸，伴颧红、盗汗，多属,心气虚,心血虚,心阴虚,心阳虚,心脉痹阻,C,,诊断学,单选
患者以腹痛、里急后重、下利赤白粘液为主症应考虑为,肝脾不和证,脾气虚证,脾肾阳虚证,大肠湿热证,,D,,诊断学,单选
患者因暑热炽盛而卒然晕倒四肢抽搐辨证是,伤暑,中暑,暑风,暑瘵,冒暑,C,,诊断学,单选
患者月经先后无定，量少色淡，伴唇甲色淡，心悸失眠，头晕眼花，舌淡脉细，证属：（      ）,气不摄血,气随血脱,气血两虚,血虚,气滞血瘀,D,,诊断学,单选
患者自觉耳内鸣响的症状， 如闻潮水， 或如蝉鸣者属,耳鸣,耳聋,重听,耳闭,脓耳,A,,诊断学,单选
患者自觉胃脘胀闷不舒，且嗳腐吞酸，多为,气滞,食积,湿阻,脾虚,气逆,B,,诊断学,单选
黄厚苔主,里热证,寒湿证,表寒证,阳虚证,阴虚证,A,,诊断学,单选
黄腻苔不见于,肝胆湿热,湿热内蕴,痰热交阻,痰浊化热,寒湿内停,E,,诊断学,单选
黄燥苔多见于,表热证,湿热证,实热证,虚热证,假热证,C,,诊断学,单选
灰黑苔辨寒热的关键是观察：(    ),舌苔之厚薄,舌苔之腐腻,舌形之胖瘦,舌苔之润燥,舌之老嫩,D,,诊断学,单选
婚姻生育情况属于问诊中：（    ）,一般情况,现病史,既往病史,家族史,个人生活史,E,,诊断学,单选
火邪致病的特点是：（      ）,恶寒发热，无汗头痛,发热恶风，头痛汗出,恶热汗出，口渴乏力尿黄,发热体倦，头重胸闷不渴,发热口渴，谵妄吐衄,E,,诊断学,单选
饥不欲食见于,脾气虚证,脾阳虚证,胃气虚证,胃阴虚证,,D,,诊断学,单选
饥不欲食可见于,胃火亢盛,胃强脾弱,脾胃湿热,胃阴不足,肝胃蕴热,D,,诊断学,单选
肌肤初扪不觉热，扪之稍久即感灼手者，称,身有微热,壮热,身热不扬,骨蒸潮热,阳明潮热,C,,诊断学,单选
鸡胸多见于,痿病,狂病,小儿佝偻病,中风,郁病,C,,诊断学,单选
积粉苔常见于,表寒,表热,痰饮,食积,瘟疫,E,,诊断学,单选
疾病的哪个阶段较易出现证候真假,初期阶段,中间阶段,末期阶段,危重阶段,传变阶段,D,,诊断学,单选
疾脉的特征是,脉来一息四至,脉来一息四五至,脉来一息五六至,脉来一息五到七至,脉来一息七八至,E,,诊断学,单选
既见于气血两虚证，又见于湿证的是,细脉与濡脉,濡脉与迟脉,弱脉与短脉,弱脉与微脉,微脉与芤脉,A,,诊断学,单选
假神的表现是,神志清楚，面色红润，目光明亮，精彩内含,重病本已失神，突然神识清醒，颧赤如妆,壮热烦躁，神昏谵语，四肢抽搐,精神不振，面色少华，倦怠乏力,精神萎靡，面色无华，形体羸瘦,B,,诊断学,单选
假神最主要的病理机制是,气血不足，精神亏损,机体阴阳严重失调,脏腑虚衰，功能低下,精气衰竭，正气将脱,阴盛于内，格阳于外,D,,诊断学,单选
间时左胸前区刺痛，常于夜间发作，面色略暗，舌尖有紫色斑点，脉弦涩，为：（      ）,气滞证,气逆证,气闭证,血热证,血瘀证,E,,诊断学,单选
见于突然出血过多，血量骤减的脉象是,动脉,涩脉,芤脉,浮脉,伏脉,C,,诊断学,单选
鉴别脾气虚证与脾阳虚证最主要的是：(    ),有无肢体浮肿,有无食少便溏,有无身倦乏力,有无形寒肢冷,有无腹胀腹痛,D,,诊断学,单选
鉴别脾气虚证与胃气虚证最有意义的是：(    ),是否面色萎黄,有无少气懒言,有无神疲倦怠,是否大便稀溏,是否舌淡脉弱,D,,诊断学,单选
鉴别太阳伤寒证与太阳中风证最有意义的是：（    ）,有无头痛,有无恶寒,有无汗出,有无发热,有无恶风,B,,诊断学,单选
将八纲内容称为“二纲六变”的是,《伤寒杂病论》,《景岳全书》,《伤寒六书》,《伤寒质难》,《医学六要》,B,,诊断学,单选
焦黄苔临床多主：(    ),热轻,热重,热结,热入营血,湿热,C,,诊断学,单选
绞痛的特点是,胀闷疼痛,灼热疼痛,牵扯样痛,痛如刀绞,刺痛,D,,诊断学,单选
结脉、代脉、促脉，其脉象的共同点是,脉来较数,脉来时止,止无定数,脉来缓慢,止有定数,B,,诊断学,单选
结脉代脉促脉，其脉象的共同点是：（    ）,脉来较数,脉来时止,止无定数,脉来缓慢,止有定数,B,,诊断学,单选
结脉的特征是,数而时止，止无定数,数而时止，止有定数,缓而时,缓而时止，止有定数,乍疏乍密，如解乱绳状,C,,诊断学,单选
结石阻滞尿路作痛多为,绞痛,掣痛,灼痛,重痛,冷痛,A,,诊断学,单选
解索脉的表现是,脉来乍疏乍密,脉连连数急，三五不调,脉搏极慢，良久一至,脉动短小坚搏,脉急促而坚硬,A,,诊断学,单选
金实不鸣可见,语声重浊,音哑或失音,呻吟,惊呼,狂言,B,,诊断学,单选
津液亏虚者可见,口唇青黑,口唇深红,口角流涎,口唇淡白,口唇干裂,E,,诊断学,单选
津液亏虚证与燥淫证最主要的区别在于,前者称津亏，后者称液耗,前者属内燥，后者属外燥,前者属阴虚，后者属血虚,前者属耗损过多，后者属生化不足,前者属虚热证，后者属实热证,B,,诊断学,单选
紧脉的脉象是,端直以长，如按琴弦,脉来有力，左右弹手，势如绞转绳索,二者均是,二者均不是,,B,,诊断学,单选
紧脉的脉象特征是,如按琴弦,如按葱管,如按鼓皮,如转绳索,如按刀刃,D,,诊断学,单选
紧脉的特征是,如按鼓皮,如循刀刃,浮而搏指,绷急弹指,浮而数急,D,,诊断学,单选
经常脘腹冷痛喜按，吐清涎，口苦微渴，小便短黄，舌质红苔薄黄，脉沉弦。此为,寒热错杂证,真热假寒证,真寒假热证,表里实寒证,表寒里热证,A,,诊断学,单选
经络辨证一般不包括下列哪项,经络循行部位的症状,经络所属脏腑的症状,多经合病的症状,另条经络所见的症状,辨奇经八脉病证,D,,诊断学,单选
经期腹痛，夹有血块的原因是,气滞,血瘀,血虚,血热,痰湿,B,,诊断学,单选
惊悸失眠，胆怯易惊，烦躁不安，口苦呕恶，舌红苔黄腻，脉弦数，应诊断为,心火亢盛证,痰火扰神证,肝火炽盛证,胆郁痰扰证,肝胆湿热证,D,,诊断学,单选
惊悸失眠，头晕呕恶，胸胁胀闷，口苦吐痰，苔白腻，脉弦滑，应诊断为,肝火炽盛证,肝阳上亢证,肝胆湿热证,胆郁痰扰证,肝胃不和证,D,,诊断学,单选
颈部肿块已半年，质柔圆滑，推之可移，无压痛，皮色不,痰证,水停证,食积证,饮证,气滞证,A,,诊断学,单选
颈前结喉处有肿物如瘤，可随吞咽移动者，称为,瘿瘤,瘰疬,痰核,急喉风,梅核气,A,,诊断学,单选
镜面舌的形成机理是,水湿上犯,胃阴枯涸,热盛伤津,热入营血,胃肠热结,B,,诊断学,单选
久病咳喘，呼多吸少，动则尤甚，腰膝酸软，舌淡紫，脉沉弱，应诊断为,肾气不固证,肺肾气虚证,脾肺气虚证,心肺气虚证,心肾不交证,B,,诊断学,单选
久病舌红绛而痿软者属：(    ),阴亏已极,热灼津伤,气血两亏,痰浊内阻,以上都不是,A,,诊断学,单选
久病重病患者多日不想进食，突然食欲大增，其临床意义是,除中,消谷善饥,饥不欲食,纳呆,偏嗜食物,A,,诊断学,单选
绝汗的特点是,大汗淋漓,半身汗出,战栗汗出,睡时汗出,日间汗出,A,,诊断学,单选
绝汗多见于,阴虚证,阳虚证,津亏证,血虚证,亡阳证,E,,诊断学,单选
厥阴病提纲证不包括下列哪项：（    ）,气上撞心,腹满而吐,心中疼热,消渴喜饮,饥不欲食,C,,诊断学,单选
厥阴病证的主要病机是,上热下寒，寒热格拒,上热下寒，寒热错杂,正伤邪陷，寒热错杂,表寒化热，上热下寒,阴阳胜复，寒热错杂,B,,诊断学,单选
厥阴头痛的特点是：（    ）,前额疼痛连及眉棱骨,后头痛连项,两侧太阳穴附近痛,巅顶头痛,头痛连齿,D,,诊断学,单选
可见于正常人的脉象是,濡脉,缓脉,紧脉,芤脉,涩脉,B,,诊断学,单选
可见于正常人的舌象是,舌红起刺,舌面水滑,舌苔白腻,舌质淡红,舌体胖大,D,,诊断学,单选
可以作为判断正气渐衰的是,舌苔剥落后复生新苔,舌苔从全到剥落,未剥落处有滑苔,舌苔由润变干燥,舌质由红润变青,B,,诊断学,单选
可诊病变之所在的是苔之：(    ),偏全,腐腻,厚薄,剥落,真假,A,,诊断学,单选
渴不多饮，兼身热不扬，头身困重，胸闷纳呆，舌苔黄腻，其临床意义是,湿热内蕴,饮停胃肠,瘀血内阻,热入营分,阴虚火旺,A,,诊断学,单选
芤脉的特征是,浮而搏指，中空外坚,浮而无力，按之空虚,浮大中,应指浮大而中空,浮而细软无力,C,,诊断学,单选
芤脉与革脉的相同特点是,浮而不聚,浮而无力,浮而中空,脉位浅表，脉体阔大,脉位浅表，细软无力,C,,诊断学,单选
芤脉与革脉的相同特征是,浮而搏指，中空外坚,浮而无力，按之空虚,浮大中,应指浮大而中空,浮而细软无力,D,,诊断学,单选
口鼻干燥，干咳少痰，痰中夹血，舌干少津，属于,伤阴证,液脱证,外燥证,内热证,火淫证,C,,诊断学,单选
口出酸臭气为,龋齿,胃热,伤食,胃病,,C,,诊断学,单选
口撮可见于,肺气将绝,痉病，惊风,新生儿脐风,中风,疟疾,C,,诊断学,单选
口淡乏味常见于下列哪项?,脾胃气虚,脾胃湿热,肝胃不和,肝火上炎,,A,,诊断学,单选
口干，但欲漱水不欲咽，可见于：（    ）,阴虚证,湿热证,痰饮内停,瘀血阻滞,里寒证,D,,诊断学,单选
口干欲漱水而不欲咽者，多属,阴虚内热,瘀血内阻,里热炽盛,湿热内蕴,外感温热,B,,诊断学,单选
口噤可见于,肺气将绝,痉病，惊风,新生儿脐风,中风,疟疾,B,,诊断学,单选
口渴，但欲漱水而不欲咽多属（    ）,痰饮,湿热,阴虚,瘀血,阳虚,D,,诊断学,单选
口僻可见于,肺气将绝,痉病，惊风,新生儿脐风,中风,疟疾,D,,诊断学,单选
口酸是因：（    ）,胃气上逆,脾胃气虚,脾胃湿热,燥热伤津,肝胃不和,E,,诊断学,单选
口甜多属,脾胃虚弱,脾阳虚,湿热蕴脾,痰湿内阻,肝胃郁热,C,,诊断学,单选
口燥咽干，唇燥而裂，皮肤干枯，尿少便结，脉细数无力，属于,阴虚证,血虚证,气虚证,津液亏虚证,血热证,D,,诊断学,单选
口张可见于,肺气将绝,痉病，惊风,新生儿脐风,中风,疟疾,A,,诊断学,单选
口中黏腻不爽，其临床意义是,胃火炽盛,湿热蕴脾,胆火上炎,心火上炎,脾胃气虚,B,,诊断学,单选
狂妄躁动，呼笑怒骂，打人毁物，不避亲疏，属于,癫病,痫病,呆病,狂病,脏躁,D,,诊断学,单选
烂苹果样气味多见于,水肿晚期,脏腑败坏,失血病人,消渴重证,,D,,诊断学,单选
