problem,solution,answer,problem_type
"矿物药类和贝壳类药材适合 。

A.粉末
B.颗粒
C.丝
D.段
E.块",$B$,B,single_choice
"治疗痰热郁肺型肺胀的首选方剂是

A.清金化痰汤
B.越婢加半夏汤
C.小青龙加石膏汤
D.麻杏石甘汤
E.定喘汤",$B$,B,single_choice
"温中散寒剂包括

A.理中丸
B.小建中合剂
C.良附丸
D.香砂养胃颗粒
E.四逆汤",$A$,A,single_choice
"补骨脂主要成分的结构为 。

A.异香豆素类
B.简单香豆素类
C.吡喃香豆素类
D.呋喃香豆素类
E.其他香豆素类",$D$,D,single_choice
"气虚血瘀、风痰阻络治疗宜选用

A.消栓胶囊
B.通心络胶囊
C.人参再造丸
	87

D.速效救心丸
E.稳心颗粒",$C$,C,single_choice
"主产地长江以南，南岭以北的药材是 。

A.缓和油润而不滑肠
B.增强活血行气的作用
C.增强止呕的作用
D.增强润肠通便的作用
E.增强活血调经的作用",$A$,A,single_choice
"肺胀最特征性的主症是

A.发作性痰鸣气喘
B.喘促气急
C.咳嗽咳痰
D.胸部膨满，憋闷如塞
E.胸胁饱满，咳睡引痛",$D$,D,single_choice
"生姜可温胃止呕，黄芩药性寒凉，可削弱生姜的温胃作用，此配伍属

A.相须配伍
B.相使配伍
C.相恶配伍
D.相反配伍
E.相畏配伍",$C$,C,single_choice
"龙牡壮骨颗粒的功能是

A.强筋壮骨，和胃健脾
B.清热肃肺，消积止咳
C.疏肝理气，消食化滞
D.滋阴清热，养血健脾
E.补气养血，健胃消食",$A$,A,single_choice
"下列关于强心苷的溶解性叙述错误的是 。

A.一般原生苷亲水性大于次生苷
B.原生苷不易结晶，为无定形粉末
C.羟基越多，亲水性越强
D.形成分子内氢键，增加亲水性
E.苷元一般难溶于水，易溶于有机溶剂",$D$,D,single_choice
"中医药文献来源按照文献资料的加工层次不同，信息资料可以分为一次文献、二次文献、三次文献。二次文献是对一次文献进行整理分类、提炼加工，按一定规则编排而成。其中属于二次文献的是

A.期刊论文
B.专利说明
C.书目题录
D.论文综述
E.会议文献",$B$,B,single_choice
"槐花、芥子常用的炮制方法是 。

A.炒黄
B.炒焦
C.麸炒
D.米炒
E.砂炒",$A$,A,single_choice
"鸡血藤采收加工须 。

A.牛膝
B.泽泻
C.白术
D.雪莲花
E.黄连",$B$,B,single_choice
"痔脾虚气陷证可采用的治法是

A.养血祛风润燥
B.清热凉血祛风
C.清热利湿止血
	14
专业网校课程、题库软件、考试用书、资讯信息全方位一体化职业考试学习平台
D.理气祛风活血
E.补气升提举陷",$E$,E,single_choice
"泄泻食滞肠胃证可见

A.腹痛而泻，腹中雷鸣，攻窜作痛，伴有胸胁胀闷
B.泄泻腹痛，泻下急迫，势如水注，肛门灼热
C.泄泻清稀，甚则如水样，伴有恶寒发热
	62
专业网校课程、题库软件、考试用书、资讯信息全方位一体化职业考试学习平台
D.泻下粪便臭如败卵，伴有不消化之物
E.时溏时泻，迁延反复，食后脘闷不适",$D$,D,single_choice
"专业网校课程、题库软件、考试用书、资讯信息全方位一体化职业考试学习平台

A.肝肾毒性
B.心脏毒性
C.黏膜刺激性
D.兴奋骨髓，抑制呼吸中枢
E.胃肠道反应",$B$,B,single_choice
"用于区分萘醌和蒽醌的反应是 。

A.萘醌类
B.二蒽酮类
C.邻菲醌类
D.对菲醌类
E.蒽酮碳苷类",$C$,C,single_choice
"患者猝然心痛如绞，心痛彻背，喘不得卧，伴有手足不温，冷汗自出，胸闷气短，心悸，面色苍白，舌质紫暗，脉沉紧。治疗应首选

A.枳实薤白桂枝汤合当归四逆汤
B.人参养营汤合左归饮
C.炙甘草汤合生脉散
D.苓桂术甘汤合左归丸
E.苏合香丸合左归饮",$A$,A,single_choice
"苦参中的生物碱类型主要是 。

A.吲哚类
B.异喹啉类
C.莨菪烷类
D.喹喏里西啶类
E.有机胺类",$D$,D,single_choice
"中医应辨证为

A.心脾两虚证
B.心阳不振证
C.瘀阻心脉证
D.阴虚火旺证
E.心血不足证",$B$,B,single_choice
"属于益气活血剂的是

A.复方丹参片
B.血府逐瘀口服液
C.麝香保心丸
D.稳心颗粒
E.人参再造丸",$C$,C,single_choice
"蜕皮激素的生物活性不包括 。

A.促进蛋白质合成
B.促进微量元素吸收
C.排除体内的胆甾醇
D.降血脂
E.抑制血糖上升",$B$,B,single_choice
"患儿，8个月。因一次食入2个鸡蛋，并饮用一大杯牛奶而致呕吐，呕吐物见有不消化食物，且有酸腐味。
不思进食，腹胀，啼哭不安，大便酸臭，舌苔厚腻。其诊断是

A.厌食
B.积滞
C.呕吐
D.疳积
E.腹痛",$B$,B,single_choice
"芦荟苷属于 。

A.萘醌类
B.二蒽酮类
C.邻菲醌类
D.对菲醌类
E.蒽酮碳苷类",$E$,E,single_choice
"成人空腹血糖的正常参考值是

A.32～7.8mmol/L
B.41～6.6mmol/L
C.30～7.1mmol/L
D.28～6.5mmol/L
E.39～6.1mmol/L",$E$,E,single_choice
"祛风湿兼解表，治疗表证夹湿宜选
	8

A.防己
B.独活
C.苍术
D.木瓜
E.秦艽",$B$,B,single_choice
"炒王不留行的火力是 。

A.中火
B.大火
C.小火
D.武火
E.文火",$A$,A,single_choice
"生用镇惊安神，煅用收湿敛疮的药是

A.磁石
B.龙骨
C.滑石
D.朱砂
E.琥珀",$B$,B,single_choice
"远志常采用的炮制方法是 。

A.清水煮
B.甘草汁煮
C.酒蒸
D.豆腐煮
E.姜汤煮",$B$,B,single_choice
"月经先期，量少，舌淡黯，质稀，腰膝酸软，宜用

A.固阴煎
B.大补元煎
C.归脾汤
D.举元煎合安冲汤
E.八珍汤",$A$,A,single_choice
"气滞胃痛颗粒的使用注意是

A.寒厥所致四肢不温者慎用
B.肝胃郁火、胃阴不足所致胃痛者慎用
C.阴虚火旺者慎用
D.脾胃虚寒胃痛者慎用
E.血热所致的肠风便血、痔疮者不宜使用",$B$,B,single_choice
"附子加辅料煮制的目的是 。

A.黄芩
B.远志
C.川乌
D.杏仁
E.藤黄",$C$,C,single_choice
"此剂型每喷主药含量应为标示含量的 。

A.70%～120%
B.80%～90%
C.80%～100%
D.90%～120%
E.80%～120%",$E$,E,single_choice
"补阳还五汤适用于中风何种证型

A.气血亏虚证
B.肝肾阴虚证
C.气虚血瘀证
D.风阳上扰证
E.肾虚精亏证",$C$,C,single_choice
"川乌中，毒性最强的生物碱是 。

A.双酯型生物碱
B.单酯型生物碱
C.无酯键的醇胺型生物碱
D.N→O型生物碱
E.芳香生物碱",$A$,A,single_choice
"治疗宜选用的治法是

A.温肾健脾，固涩止泻
B.温中健脾，固涩止泻
C.温补脾肾，涩汤止泻
D.健脾补肾，化湿固涩
E.补肾助阳，温中固涩",$A$,A,single_choice
"附子的主治病证是

A.中寒呃逆
B.阳虚外感
C.寒郁肝脉
D.气血亏虚
E.寒饮咳喘",$B$,B,single_choice
"白矾的功效是

A.内服利水通便，清热消痰
B.内服解毒杀虫，燥湿止痒
C.外用解毒杀虫，燥湿止痒
D.外用止血止泻，清热消痰
E.外用止血止泻，攻毒杀虫",$C$,C,single_choice
"小儿痰热蕴肺、饮食积滞宜选用

A.小儿咳喘灵颗粒
B.清宣止咳颗粒
C.鹭鸶咯丸
D.儿童清肺丸
E.小儿消积止咳口服液",$E$,E,single_choice
"因气滞血瘀而致痛经，首选方是

A.膈下逐瘀汤
B.血府逐瘀汤
C.少腹逐瘀汤
D.桃红四物汤
E.桂枝茯苓丸",$A$,A,single_choice
"某患者，女，32岁，患有脾虚导致的水肿兼胎动不安，宜选用的配伍药对是

A.香附配高良姜
B.枳实配白术
C.茯苓配白术
D.苦杏仁配紫苏
E.茯苓配猪苓",$C$,C,single_choice
"主治是风热外束、痰热内盛所致的急、慢性喉瘖的是

A.复方鱼腥草片
B.桂林西瓜霜
	8

C.冰硼散
D.锡类散
E.黄氏响声丸",$E$,E,single_choice
"心悸阴虚火旺证可选用的中成药有

A.天王补心丸
B.朱砂安神丸
C.宁神补心片
D.安神补心丸
E.人参归脾丸",$A$,A,single_choice
"厚朴、黄柏的主要产地是 。

A.山东
B.四川
C.云南
D.贵州
E.河南",$B$,B,single_choice
"长于去腐的药物

A.升药
B.马钱子
C.砒石
D.炉甘石
E.蟾酥",$A$,A,single_choice
"功能活血化瘀，舒筋通络，息风镇痉的药物是

A.麝香保心丸
B.华佗再造丸
C.复方丹参片
D.抗栓再造丸
E.人参再造丸",$D$,D,single_choice
"中医应辨证为

A.肝气郁结证
B.气滞血阻证
C.瘀血内结证
D.正虚邪结证
E.湿毒蕴结证",$B$,B,single_choice
"香豆素类化合物在碱中长时间放置 。

A.不发生变化
B.生成顺式邻羟基桂皮酸盐
C.生成顺式邻羟基桂皮酸
D.生成反式邻羟基桂皮酸盐
E.生成反式邻羟基桂皮酸",$D$,D,single_choice
"《中国药典》规定，前胡中白花前胡甲素的含量测定的方法为 。

A.GC
B.TLCS
C.HPLC
D.IR
E.UV",$C$,C,single_choice
"甘露消毒丸的功能是

A.辟瘟解毒，消肿止痛
B.祛暑除湿，和中消食
C.芳香化湿，清热解毒
D.祛暑利湿，补气生津
E.健胃，祛暑",$C$,C,single_choice
"呈长圆棒状，常单生或2～3个基部连生的药材是 。

A.丁香
B.红花
C.槐花
D.款冬花
E.金银花",$D$,D,single_choice
"某妇人月经错后，经量少，色暗淡，质清稀，腰膝酸软，头晕耳鸣，面色晦暗，舌淡，苔薄白，脉沉细。
应选方

A.生化汤
B.归肾丸
C.温经汤
D.乌药汤
E.大补元煎",$B$,B,single_choice
"耳鸣耳聋风热侵袭证可见

A.耳聋突然发生，如吹风音，昼夜不停，伴有发热恶寒，鼻塞流涕
B.耳聋突然发生，如闻潮声，时轻时重，多随情绪而波动
C.耳聋久发，耳鸣如蝉，昼夜不息，安静时尤甚，伴有腰膝酸软
D.耳聋日久，耳鸣声低，每遇疲劳加重，伴有倦怠乏力
E.耳鸣耳聋，耳内流脓，头晕头痛",$A$,A,single_choice
"中医诊断为

A.癃闭
B.汗证
C.水肿
D.痹证
E.郁证",$C$,C,single_choice
"其治法是

A.理气消积，活血散瘀
B.祛瘀软坚，扶正健脾
C.理气化痰，导滞散结
D.补益气血，活血化瘀
E.疏肝解郁，行气散结",$B$,B,single_choice
"症见气少喘促，动则益甚，咳嗽无力，声音低怯，治宜选用的治法是

A.补气法
B.补血法
C.补阴法
D.补阳法
E.补脾法",$A$,A,single_choice
"易变色的中药饮片是

A.芫花
B.辛夷
C.密蒙花
D.旋覆花
E.金银花",$E$,E,single_choice
"苓桂术甘汤温化痰饮、健脾利湿，是治疗中阳不足之痰饮病的良方。方中君药为

A.茯苓
B.白术
C.黄芩
D.桂枝
E.甘草",$A$,A,single_choice
"灯心草入煎汤，内服的用量是

A.10～30g
B.3～6g
C.3～10g
D.1～3g
E.1～1.5g",$D$,D,single_choice
"在调配上述方剂时，选用的药材错误的是

A.知母应为生知母，长于清热泻火，生津润燥
B.石膏应为煅石膏，长于清热泻火，除烦止渴
C.甘草应为炙甘草，调和诸药
D.石膏的常规用量为15～60g
E.石膏在应用时，宜打碎先煎",$B$,B,single_choice
"以下哪一症状不属于绝经前后诸证脾肾阳虚证的临床表现

A.经断前后，腰脊冷痛
B.肢软无力，神疲体倦
C.面色胱白，形寒肢冷
D.舌淡嫩，苔白润
E.五心烦热，潮热盗汗",$E$,E,single_choice
"具利水通淋、解暑作用的药物是

A.木通
B.滑石
C.通草
	2

D.茵陈
E.猪苓",$B$,B,single_choice
"皂苷类化合物 。

A.分子较小，易结晶
B.分子较大，不易结晶
C.易溶于石油醚、苯、乙醚
D.有升华性
E.多数无溶血现象",$B$,B,single_choice
"醋制后，可矫臭矫味的是 。

A.增强活血通经的作用
B.增强活血补气的作用
C.补血又不致滑肠的作用
D.增强润肠通便的作用
E.止血和血的作用",$C$,C,single_choice
"川牛膝与怀牛膝均有的功效是

A.活血通经，散瘀止痛，强筋骨
B.活血祛瘀，利湿退黄，凉血清心
C.活血通经，下乳消肿
	3

D.活血通经，润肠通便，止咳平喘
E.逐瘀通经，引血下行，利尿通淋",$E$,E,single_choice
"第二十章 杀虫燥湿止痒药
题
1关于杀虫燥湿止痒药使用注意错误的是

A.毒性剧烈者，外用时尤当慎重，既不能过量，也不能大面积涂敷
B.可以在头面及五官使用
C.严格遵守炮制、控制剂量、使用方法与宜忌
D.可内服的有毒之品，更应严格遵守炮制、控制剂量、注意使用方法与宜忌
E.应避免持续服用，以防蓄积中毒",$B$,B,single_choice
"能聪耳明目的药是

A.朱砂
B.远志
C.磁石
D.柏子仁
E.酸枣仁",$E$,E,single_choice
"治疗心悸阴虚火旺证，应首选

A.天王补心丹
B.安神定志丸
C.桂枝甘草龙骨牡蛎汤
D.归脾汤
E.朱砂安神丸",$A$,A,single_choice
"中医应辨证为

A.肺经风热证
B.胃肠湿热证
C.寒湿困脾证
D.肝胆湿热证
E.大肠湿热证",$B$,B,single_choice
"与人参对抗同贮的是

A.绿豆
B.细辛
C.花椒
D.冰片
E.丹皮",$B$,B,single_choice
"青风藤除祛风湿、通经络外，又能

A.止血
B.活血
C.降血压
D.消痰水
E.利小便",$E$,E,single_choice
"治痰涎壅盛之气喘咳嗽可用

A.莱菔子
B.神曲
C.山楂
D.麦芽
E.谷芽",$A$,A,single_choice
"增液口服液除能增液润燥，又能

A.宽中理气
B.养阴生津
C.滋补肝肾
D.行气逐水
E.健脾利湿",$B$,B,single_choice
"不采用清炒法炮制的是 。

A.槐花
B.莱菔子
C.蒲黄
D.白术
E.苍耳子",$D$,D,single_choice
"在碱液中γ-吡喃酮环开裂，加酸后又环合析出沉淀的化合物是 。

A.芹菜素
B.槲皮素
C.橙皮苷
D.葛根素
E.儿茶素",$C$,C,single_choice
"《中国药典》要求银杏叶中的萜类内酯不少于 。

A.环烯醚萜类化合物
B.二萜类化合物
C.肽类化合物
D.有机酸类化合物
E.倍半萜类化合物",$A$,A,single_choice
"川乌内服一般应

A.生用，研末
B.生用，熬膏
C.生用，先煎
D.生用，浸酒
E.炮制，久煎",$E$,E,single_choice
"下列关于鞣质的理化性质叙述错误的是 。

A.无定形粉末
B.具有吸湿性
C.具有氧化性
D.具有酸性
E.较强的极性",$C$,C,single_choice
"进行水处理时应遵循“七分润工，三分切工”原则的药物是 。

A.香薷
B.佩兰
C.乌药
D.天花粉
E.甘草",$D$,D,single_choice
"地榆槐角丸的功能是

A.疏风凉血、泻热润燥
B.清热燥湿、活血消肿
C.清热燥湿、祛腐生肌
D.清热凉血、祛风止痒
E.清热除湿、消风止痒",$A$,A,single_choice
"治疗应首选的方剂是

A.芎芷石膏汤
B.半夏白术天麻汤
C.天麻钩藤饮
D.通窍活血汤
E.川芎茶调散",$D$,D,single_choice
"属于天麻钩藤颗粒的功能是

A.清热安神
B.健脾安神
C.镇心安神
D.醒脑安神
E.解郁安神",$A$,A,single_choice
"中医应诊断为

A.疮疖
B.乳痈
C.乳癖
D.粉刺
E.瘾疹",$B$,B,single_choice
"粉刺肺经风热证，治宜选用的中成药是

A.当归苦参丸
B.当归龙荟丸
C.金花消痤丸
D.化瘀祛斑胶囊
E.防风通圣丸",$D$,D,single_choice
"膏淋症见

A.小便频数短涩，灼热刺痛，尿色黄赤
B.排尿时突然中断，尿道窘迫疼，少腹拘急
C.小便热涩刺痛，尿色深红
D.郁怒之后，小便涩滞，淋沥不宣，少腹胀满
E.小便浑浊如米泔水，上有浮油，置之沉淀",$E$,E,single_choice
"既敛肺滋肾，又生津敛汗的药是

A.石榴皮
B.五倍子
C.金樱子
D.五味子
E.浮小麦",$D$,D,single_choice
"定性鉴别环烯醚萜类化合物的反应是 。

A.与Dragendorff’s试剂呈阳性反应
B.乙酸-铜离子反应
C.与2％AlCl3乙醇溶液呈黄色反应
D.与Libermann-Burchard试剂呈紫红色反应
E.其水溶液振摇后产生持久性蜂窝状泡沫",$B$,B,single_choice
"主治是肺肾两亏的是

A.桂附地黄丸
B.四物合剂
C.河车大造丸
	78

D.六味地黄丸
E.玉泉丸",$C$,C,single_choice
"海马除补肾助阳外，还能

A.清火生津，消肿止痛
B.润肺化痰，消肿止痛
C.止血续伤，消肿止痛
D.消暑解毒，消肿止痛
E.活血散结，消肿止痛",$E$,E,single_choice
"眩晕的特点是

A.坐立不安
B.头重如蒙
C.头痛头胀
D.头晕眼花
E.恶心呕吐",$D$,D,single_choice
"汗证，夜寐盗汗，或有自汗，五心烦热，或兼午后潮热，两颧色红，口渴，舌红少苔，脉细数。辨证应属

A.肺卫不固证
B.心血不足证
C.阴虚火旺证
D.邪热郁蒸证
E.脾胃虚弱证",$C$,C,single_choice
"咽喉肿痛虚火上炎证宜选用的治法是

A.泄热解毒，利咽消肿
B.疏散风热，消肿利咽
C.滋阴降火，清热利咽
D.清热解毒，凉血利咽
E.消肿散结，利咽止痛",$C$,C,single_choice
"属气虚感冒者，可选用的方剂为

A.清瘟败毒饮
B.百合固金汤
C.参苏饮
D.荆防败毒散
E.银翘散",$C$,C,single_choice
"治疗跌打损伤瘀血阻络证，可选用的方剂是

A.膈下逐瘀汤
B.桃红四物汤
C.身痛逐瘀汤
D.独活寄生汤
E.顺气活血汤",$C$,C,single_choice
"阳虚患者复感风寒，治宜助阳解表，体现的治法是

A.虚则补之
B.急则治标
C.缓则治本
D.标本兼治
E.实则泻之",$A$,A,single_choice
"指出下列糖的类型，α-L-鼠李糖 。

A.氧苷
B.硫苷
C.氰苷
D.三糖苷
E.二糖苷",$E$,E,single_choice
"根据患者症状，应辨证为

A.痰浊阻肺证
B.痰热郁肺证
C.肾不纳气证
D.肺肾气虚证
E.风寒闭肺证",$D$,D,single_choice
"创立了新的编写体例，药物按照自然属性进行分类的本草著作是

A.《新修本草》
B.《重修政和本草》
C.《神农本草经》
D.《本草纲目》
E.《本草经集注》",$C$,C,single_choice
"宜用煅淬法炮制的药材是 。

A.炒炭
B.煅淬法
C.闷煅法
D.平炉煅
E.敞锅煅",$A$,A,single_choice
"能止汗的药物有

A.覆盆子
B.莲子肉
C.麻黄根
D.糯稻根
E.浮小麦",$C$,C,single_choice
"医生诊断这两个患者分别为外感风寒、外感风热，应采取的治法属于

A.形神一体
B.异病同治
C.整体观念
D.同病异治
E.表里结合",$A$,A,single_choice
"老年人服用二甲双胍时不宜同时服用的中成药是

A.麝香保心丸
B.六味地黄丸
C.人参鹿茸丸
D.银杏叶制剂
E.柴胡舒肝丸",$C$,C,single_choice
"湿热蕴积胃肠所致泄泻、痢疾等湿热内蕴证，宜采用的治法是

A.清热泻火法
B.清热凉血法
C.清热燥湿法
D.清热解毒法
E.清虚热法",$A$,A,single_choice
"二硫化碳-碱性硫酸铜检识麻黄碱时，出现 。

A.橙红色沉淀
B.黄色沉淀，加热后沉淀变为红色
C.棕色沉淀
D.类白色沉淀
E.绿色至棕黑色沉淀",$C$,C,single_choice
"下列叙述中，不属于细辛性状鉴别特征的是 。

A.根茎横生呈不规则圆柱形，具短分枝
B.质脆，易折断，断面平坦，黄白色或白色
C.常卷曲成团
D.嚼之黏牙，有沙粒感
E.表面灰棕色，粗糙，有环形的节",$D$,D,single_choice
"能治肺虚久嗽，久咳失音的是

A.诃子
B.麻黄根
C.覆盆子
D.五味子
E.莲子",$A$,A,single_choice
"桑螵蛸来源于 。

A.鳖蠊科
B.螳螂科
C.芫菁科
D.蝉科
E.蚕蛾科",$B$,B,single_choice
"刘某，男，39岁，性情素喜抑郁。久患便秘，欲便不得，伴胸胁痞满，肠鸣矢气，腹中胀痛，嗳气频作，纳食减少。舌苔薄腻，脉弦。治宜选用

A.柴胡疏肝散
B.四逆散
C.六磨汤
D.大承气汤
E.木香顺气丸",$C$,C,single_choice
"苍术、白术均能

A.补气生津
B.补肾助阳
C.养阴清肺
D.滋阴潜阳
E.燥湿健脾",$E$,E,single_choice
"健脾生血颗粒的主治是

A.脾胃虚弱所致的血虚证
B.阴虚内热所致的消渴证
C.肺肾两亏所致的虚劳咳嗽
D.心脾两虚所致的血虚证
E.肾虚精亏所致阳痿不育",$A$,A,single_choice
"除另有规定外，药材原粉片崩解时限为 。

A.黏合剂
B.润湿剂
C.稀释剂
D.吸收剂
E.崩解剂",$A$,A,single_choice
"男性不育症肾虚精亏证治宜选用的方剂是大补元煎合五子衍宗丸，以下有关大补元煎的饮片选择，说法错误的是

A.方中地黄为熟地黄，滋阴补血，益精填髓。
B.方中杜仲为盐杜仲，引药入肾，温而不燥,增强补肝肾作用
C.方中当归为土炒当归，长于补血调经
	5

D.方中山萸肉为酒山萸肉，借酒力温通、助药势，滋补力强
E.方中甘草为炙甘草，补脾益气效佳",$C$,C,single_choice
"第八章 理气药
题
1不属于理气药适应证的是

A.脾胃气滞之脘腹胀痛
B.食积不化之嗳气吞酸
C.肝气郁滞之胁肋胀痛
D.肺气壅滞之胸闷胸痛
E.兼治食积脘胀",$B$,B,single_choice
"肾炎四味片的主治病证是

A.湿热下注所致的淋证
B.肾气不足、湿热瘀阻所致的癃闭
C.大肠湿热所致的痢疾
D.湿热内蕴兼气虚所致的水肿
E.肝胆湿热所致的黄疸",$D$,D,single_choice
"粉刺胃肠湿热证，治宜选用的方剂是
	11

A.二陈汤合桃红四物汤
B.茵陈蒿汤
C.枇杷清肺饮
D.防风通圣散
E.桂枝麻黄各半汤",$B$,B,single_choice
"血竭除活血止痛、化瘀止血外，还有的功效是

A.利尿通淋
B.通经下乳
C.凉血止血
D.解郁清心
E.生肌敛疮",$E$,E,single_choice
"宜用醋炙的是 。

A.蕲蛇
B.杜仲
C.甘遂
D.厚朴
E.淫羊藿",$C$,C,single_choice
"临床治疗阳痿时，应辨清虚实及病损之脏腑。实证应当疏利，虚证应当补益。阳痿属命门火衰者，宜

A.温肾壮阳
B.益肾宁神
C.补益心脾
	15

D.疏肝解郁
E.温补下元",$A$,A,single_choice
"若泄泻过久而损伤胃气，可给予养胃气的食物有

A.米醋
B.淡盐水
C.饭汤
D.米粥
E.牛奶",$B$,B,single_choice
"要增强黄芪补中益气的作用应采用 。

A.麸炒
B.酒炙
C.米泔水制
D.蜜炙
E.米炒",$D$,D,single_choice
"下列哪类药物宜用淋法喷淋法处理 。

A.质地坚硬，水分难渗入的药材
B.质地松软，水分易渗入的药材
C.毒性药材
D.质地坚硬短时问水分不易渗入的药材
E.气味芳香、质地疏松的全草类、叶类、果皮类和有效成分易随水流失的药材",$E$,E,single_choice
"某女，56岁。近几日食少，没胃口，腹胀便溏，神疲乏力，舌淡脉虚，证属

A.脾虚气陷
B.脾阳虚证
C.寒湿困脾
D.脾胃湿热
E.脾失健运",$E$,E,single_choice
"患者男性，55岁。有慢性咳喘病史十余年，平素易汗出，劳动后尤甚，易外感，体倦乏力，恶风，舌苔薄白，脉细弱。该患者治疗首选

A.麻杏石甘汤
B.桂枝汤
C.玉屏风散
D.当归六黄汤
E.桂枝甘草龙骨牡蛎汤
	21
",$C$,C,single_choice
"酒炙的药物是 。

A.当归
B.车前子
C.马兜铃
D.淫羊藿
E.川乌",$A$,A,single_choice
"用于治疗外感风寒、内伤食积证的是

A.午时茶颗粒
B.表实感冒颗粒
C.荆防合剂
D.藿香正气水
E.保济丸",$A$,A,single_choice
"药性确定的基准为 。

A.药物的气味
B.药物的质地
C.病证寒热
D.药物的形状
E.药物的滋味",$C$,C,single_choice
"靶向制剂的特点包括 。

A.提高疗效并显著降低对其他组织、器官及全身的毒副作用
B.可避免超过治疗血药浓度范围的毒副作用
C.血药浓度的“峰谷”波动小
D.用药次数显著减少
E.药物可缓慢地释放进入体内",$A$,A,single_choice
"草豆蔻的原植物科属是 。

A.大戟科
B.菊科
C.肉豆蔻科
D.芸香科
E.姜科",$E$,E,single_choice
"当归粉末在显微镜下可见 。

A.木栓细胞
B.纤维束
C.韧皮薄壁细胞表面有斜向交错纹理
D.树脂道
E.石细胞群",$C$,C,single_choice
"治疗虚劳时患者面色萎黄，气短懒言，语声低微，头昏神疲，肢体无力，脉虚无力，治法宜

A.补血养肝
B.益气补虚
C.补阳温中
D.养阴生津
	79

E.阴阳双补",$B$,B,single_choice
"与西药四联疗法同时使用，可根除治疗幽门螺杆菌的中药方剂是

A.防风通圣散
B.牛黄解毒丸
C.丹参注射液
D.石麦汤
E.参苓白术散",$E$,E,single_choice
"砂仁配木香除化湿理气外，又能

A.调中止痛
B.燥湿祛痰
C.化湿解暑
D.健脾安胎
E.祛风除湿",$A$,A,single_choice
"郁证肝气郁结证可选用的中成药有

A.逍遥散
B.脑乐静
C.丹栀逍遥丸
D.脑力静糖浆
E.越鞠丸",$A$,A,single_choice
"眩晕肝阳上亢证的代表方宜首选

A.天麻钩藤饮
B.归脾汤
C.左归丸
D.半夏白术天麻汤
E.通窍活血汤",$A$,A,single_choice
"下列化合物的结构属于，儿茶素 。

A.黄酮
B.二氢黄酮
C.异黄酮
D.黄酮醇
E.黄烷-3-醇",$E$,E,single_choice
"复方丹参片除活血化瘀外，还可

A.通脉止痛
B.消肿止痛
C.温经通络
D.理气止痛
E.益气养阴",$D$,D,single_choice
"慎用的六味地黄丸的有

A.体实
B.阳虚
C.脾虚
D.气滞
E.感冒",$A$,A,single_choice
"阳痿不振，伴心悸易惊，胆怯多疑，夜多噩梦，常有被惊吓史，治宜选用的方剂是A逍遥散
B.归脾汤
C.启阳娱心丹
D.左归丸
E.右归丸
参考答案：C
【解析】阳痿——惊恐伤肾证【方剂应用】基础方剂：启阳娱心丹(人参、远志、茯神、石菖蒲、甘草、橘红、砂仁、柴胡、菟丝子、白术、酸枣仁、当归、白芍、山药、神曲)加减。掌握“阳痿”知识点。
64.阳痿不举；伴心悸，失眠多梦，神疲乏力，面色无华，食少纳呆，腹胀便溏，治宜选用的方剂是

A.逍遥散
B.归脾汤
C.启阳娱心丹
D.左归丸
E.右归丸",$B$,B,single_choice
"对于该患者应采用的治疗方法是

A.宣肺散寒
B.补肾纳气
C.豁痰化瘀
	6

D.疏散风寒，宣肺解表
E.祛风清热宣窍",$E$,E,single_choice
"以下哪项是广藿香的加工方法 。

A.曝晒
B.阴干
C.日晒夜闷，反复至干
D.低温干燥
E.蒸干",$C$,C,single_choice
"荆芥炒炭的作用是 。

A.清热凉血增强
B.凉血止血增强
C.收敛止血增强
D.产生止血作用
E.增强止血作用",$D$,D,single_choice
"用砂炒的是 。

A.引药上行，增强活血通络的作用
B.引药入肝，增强活血止痛作用
C.制其寒性，增强和胃止呕
D.引药下行，增强滋阴降火
E.缓和药性增强润肺止咳",$D$,D,single_choice
"清肺止咳剂的代表是

A.降气定喘丸
B.通宣理肺丸
C.藿香正气水
D.养阴清肺膏
E.清肺抑火丸
	69
",$E$,E,single_choice
"活血行气止痛力强，醋炙可增强止痛作用的药物是

A.桃仁
B.柴胡
C.玫瑰花
D.牛膝
E.延胡索",$E$,E,single_choice
"净制厚朴的处理方法是 。

A.去心
B.去毛
C.去残根
D.去核
E.去皮壳",$E$,E,single_choice
"天王补心丸的组成不包括

A.地黄
B.麦冬
C.玄参
D.当归
E.人参",$E$,E,single_choice
"患者在用药时，作为药师给出的建议，不正确的是

A.心悸兼有血瘀阻络之头痛，宜选用血府逐瘀口服液
B.心气不足、心血瘀阻之心悸兼失眠者，宜选用七叶神安片
C.气阴两虚、瘀血阻络之心悸，宜选用稳心颗粒
D.气阴两虚、心络瘀阻兼有内热者，可同时服用参松养心胶囊和生脉饮
E.气虚血瘀者慎用血府逐瘀口服液",$D$,D,single_choice
"某女，28岁。胸胁胀满走窜疼痛，性情急躁，并兼见痞块刺痛拒按，舌紫暗有瘀斑，痛经、经色紫暗有块，乳房胀痛，中医辨证是

A.气虚证
B.气血两虚证
C.血虚证
D.气虚血瘀证
E.气滞血瘀证",$A$,A,single_choice
"肾炎康复片的主治病证包括

A.气阴两虚
B.脾肾不足
C.水湿内停
D.蛋白尿
E.慢性肾炎",$A$,A,single_choice
